punto,lat,lon,elevation
0,29.424965,-101.935221,727.0
1,29.197559,-102.612423,1549.0
2,29.425047,-102.612423,972.0
3,29.652536,-102.612423,918.0
4,29.197559,-102.318496,1109.0
5,29.425047,-102.318496,925.0
6,29.652536,-102.318496,745.0
7,29.197559,-102.024568,1413.0
8,29.425047,-102.024568,973.0
9,29.652536,-102.024568,620.0
10,29.425047,-101.730641,598.0
11,29.652536,-101.730641,506.0
12,29.425047,-101.436714,448.0
13,29.652536,-101.436714,423.0
14,29.197559,-101.142787,390.0
15,29.425047,-101.142787,359.0
