Lon,Lat,Clave,Edo,Est,Tmin,,
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,14.3,,
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,14.3,,
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,14.5,,
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,14.8,,
-101.99,21.9,CNSAG,AGS,Los Conos Ags.,12.3,,
-102.68,22,CDRAG,AGS,La Codorniz Ags.,14.1,,
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,12.7,,
-102.42,22.14,PECAG,AGS,Plutarco ElÌas Calles Ags.,13.0,,
-102.28,22.15,PBLAG,AGS,PabellÛn Ags.,12.4,,
-102.14,22.2,PTOAG,AGS,Puerto de la ConcepciÛn Ags.,12.5,,
-102.44,22.24,PTRAG,AGS,Derivadora PabellÛn Ags.,13.1,,
-102.3,22.36,CSOAG,AGS,CosÌo Ags.,7.9,,
-102.18,21.74,BRTAG,AGS,San Bartolo Ags.,12.9,,
-102.37,21.78,NGRAG,AGS,El Ni·gara Ags.,13.2,,
-102.13,21.81,TNJAG,AGS,La Tinaja 2 Ags.,12.4,,
-102.19,21.83,CLVAG,AGS,Calvillo Ags.,9.5,,
-102.11,21.88,SNVAG,AGS,Sandovales Ags.,6.2,,
-101.97,21.92,PALAG,AGS,Palo Alto Ags.,13.1,,
-102.36,21.97,UAALAPOSTA,AGS,Univ. AutÛnoma de Aguascalientes La Posta Ags. SGT*,12.7,,
-102.2,22.01,CHOAG,AGS,CaÒada Honda Ags.,12.3,,
-102,22.02,NVLAG,AGS,El Novillo Ags.,9.8,,
-102.07,22.1,VJZAG,AGS,Villa Ju·rez Ags.,10.9,,
-102.59,22.18,ALMAG,AGS,Alamitos Ags.,8.2,,
-114.72,29.73,CATAVINA,BC,CataviÒa B.C. SMN*,20.3,,
-116.6,31.89,ELZBN,BC,Emilio LÛpez Zamora B.C.,16.5,,
