Lon,Lat,Clave,Edo,Est,Tmin,,,
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,6.6,,,
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,7.1,,,
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,8.2,,,
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,8.9,,,
-101.99,21.9,CNSAG,AGS,Los Conos Ags.,5.1,,,
-102.68,22,CDRAG,AGS,La Codorniz Ags.,9.2,,,
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,6.8,,,
-102.42,22.14,PECAG,AGS,Plutarco ElÌas Calles Ags.,8.1,,,
-102.28,22.15,PBLAG,AGS,PabellÛn Ags.,6.3,,,
-102.14,22.2,PTOAG,AGS,Puerto de la ConcepciÛn Ags.,9.6,,,
-102.44,22.24,PTRAG,AGS,Derivadora PabellÛn Ags.,7.8,,,
-102.3,22.36,CSOAG,AGS,CosÌo Ags.,2.5,,,
-102.18,21.74,BRTAG,AGS,San Bartolo Ags.,4.2,,,
-102.37,21.78,NGRAG,AGS,El Ni·gara Ags.,6.7,,,
-102.13,21.81,TNJAG,AGS,La Tinaja 2 Ags.,5.6,,,
-102.19,21.83,CLVAG,AGS,Calvillo Ags.,0.7,,,
-102.11,21.88,SNVAG,AGS,Sandovales Ags.,2.2,,,
-101.97,21.92,PALAG,AGS,Palo Alto Ags.,6.3,,,
-102.36,21.97,UAALAPOSTA,AGS,Univ. AutÛnoma de Aguascalientes La Posta Ags. SGT*,6.9,,,
-102.2,22.01,CHOAG,AGS,CaÒada Honda Ags.,4.4,,,
-102,22.02,NVLAG,AGS,El Novillo Ags.,3.4,,,
-102.07,22.1,VJZAG,AGS,Villa Ju·rez Ags.,2.1,,,
-102.59,22.18,ALMAG,AGS,Alamitos Ags.,2.7,,,
-102.61,22.27,SIERRAFRIA,AGS,Sierra FrÌa Ags. SMN*,5.1,,,
-114.72,29.73,CATAVINA,BC,CataviÒa B.C. SMN*,11.0,,,
-116.6,31.89,ELZBN,BC,Emilio LÛpez Zamora B.C.,9.5,,,
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,3.2,,,
-116.91,32.44,ALRBN,BC,Abelardo L. RodrÌguez B.C.,10.9,,,
-116.83,32.47,EFLBN,BC,El Florido B.C.,11.7,,,
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,10.4,,,
-116.3,32.52,HNGBN,BC,El Hongo B.C.,4.4,,,
-114.73,32.7,PDMBN,BC,Presa derivadora Morelos B.C.,8.4,,,
-115.27,32.39,MXCBN,BC,Mexicali B.C.,11.3,,,
-115.93,30.52,ENBBN,BC,San QuintÌn B.C.,9.9,,,
-114.73,32.7,ALGODONESob,BC,Observatorio de Algodones B.C. SMN*,10.3,,,
-115.94,30.53,SQNBN,BC,San QuintÌn B.C. SMN*,9.7,,,
-114.83,30.99,SANFELIPEMAR,BC,San Felipe B.C. SEMAR*,13.5,,,
-114.83,31.03,SFELIPEob,BC,Observatorio de San Felipe B.C. SMN*,14.5,,,
-116.64,31.7,PTBBN,BC,Punta Banda B.C.,7.6,,,
-116.6,31.89,PLOPEZZAMORA,BC,Presa Emilio LÛpez Zamora B.C. SMN*,10.5,,,
-115.92,32.04,CONST1857,BC,ConstituciÛn de 1857 B.C. SMN*,-3.2,,,
-114.97,32.06,ENCINAS,BC,Encinas Johnson Son. REMAS*,6.7,,,
-117.07,32.38,PLAYAROSARITO,BC,Playa Rosarito B.C. SMN*,11.5,,,
-116.91,32.45,PABELARLRDGZ2,BC,Abelardo L. RodrÌguez. 2 B.C. SMN*,12.0,,,
-116.66,32.57,TECATE,BC,Tecate B.C. SMN*,10.2,,,
-115.38,32.63,MEXICALIOB,BC,Mexicali Observatorio B.C. SMN*,9.6,,,
-114.85,31.03,SFLBN,BC,Observatorio de San Felipe B.C.,15.4,,,
-116.21,32.27,RUMOROSA,BC,La Rumorosa B.C. SMN*,3.1,,,
-115.15,32.41,ENLBN,BC,Observatorio de Ejido Nuevo LeÛn B.C.,9.4,,,
-115.46,32.67,MEXBN,BC,Mexicali B.C. SMN*,13.5,,,
-115.5,31.1,ISANPEDR1,BC,San Pedro M·rtir B.C. UNAM*,4.8,,,
-111.35,26.01,BLORETO,BCS,BahÌa de Loreto B.C.S. SMN*,17.5,,,
-109.92,22.89,SANLUCAS,BCS,Cabo San Lucas B.C.S. SMN*,21.8,,,
-109.92,22.89,SLUBS,BCS,Cabo San Lucas B.C.S. SMN*,21.8,,,
-109.93,22.9,CSLBS,BCS,Cabo San Lucas B.C.S.,16.7,,,
-109.71,23.12,SJCBS,BCS,San JosÈ del Cabo B.C.S.,16.7,,,
-110.21,23.48,TSNBS,BCS,Todos Santos B.C.S.,15.8,,,
-109.71,23.49,SNTBS,BCS,Santiago B.C.S.,14.1,,,
-109.59,23.59,RBRBS,BCS,La Ribera B.C.S.,17.9,,,
-109.7,23.68,LBABS,BCS,Los Barriles B.C.S.,20.6,,,
-110.06,23.8,SANBS,BCS,San Antonio B.C.S.,16.1,,,
-109.93,23.97,PLNBS,BCS,Los Planes B.C.S.,15.9,,,
-110,24.08,SARBS,BCS,El Sargento B.C.S.,17.9,,,
-113.46,27.64,DORBS,BCS,DÌaz Ordaz B.C.S.,6.0,,,
-114.05,27.96,GNGBS,BCS,Guerrero Negro B.C.S.,11.0,,,
-111.98,26.9,MLGBS,BCS,MulegÈ B.C.S.,12.4,,,
-110,23.56,SLAGUNA,BCS,Sierra La Laguna B.C.S. SMN*,12.2,,,
-110.32,24.12,LAPAZob,BCS,Observatorio de La Paz B.C.S. SMN*,19.0,,,
-111.83,24.48,PCORTESMAR,BCS,Puerto CortÈs B.C.S. SEMAR*,19.6,,,
-112.48,26.26,SANJUANICO,BCS,San Juanico B.C.S. SMN*,16.4,,,
-110.37,24.15,LPZBS,BCS,Observatorio de La Paz B.C.S.,18.6,,,
-111.66,25.01,CCNBS,BCS,Observatorio de Ciudad ConstituciÛn B.C.S.,11.5,,,
-111.65,25.01,CDCONSTITUCIONo,BCS,Ciudad ConstituciÛn Ob B.C.S. SGT*,13.9,,,
-111.35,26.01,LRTBS,BCS,Observatorio de Loreto B.C.S.,17.0,,,
-112.1,27.09,STAROSALIAMAR,BCS,Santa RosalÌa B.C.S. SEMAR*,17.4,,,
-112.27,27.34,SRLBS,BCS,Observatorio de Santa RosalÌa B.C.S.,15.3,,,
-113.46,27.64,DIAZORDAZBN,BCS,Gustavo DÌçaz Ordaz B.C.S. SMN*,11.3,,,
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,20.0,,,
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,21.0,,,
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,21.1,,,
-90.74,18.6,ESCCA,CAMP,Esc·rcega Camp.,22.6,,,
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,21.6,,,
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,21.4,,,
-90.72,19.36,CHMCA,CAMP,ChampotÛn Camp.,21.5,,,
-90.22,19.61,NYXCA,CAMP,Noh-YaxchÈ Camp.,21.8,,,
-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,20.2,,,
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,21.0,,,
-90.5,19.83,CAMPECHEob,CAMP,Observatorio de Campeche Camp. SMN*,21.9,,,
-90.54,19.84,CMPCA,CAMP,Campeche Camp.,22.2,,,
-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,22.5,,,
-89.74,20,BOLCA,CAMP,Bolonchen Camp.,22.7,,,
-90.11,20.18,HECCA,CAMP,Hecelchak·n Camp.,19.0,,,
-90.82,18.06,MONCLOVACAMP,CAMP,Monclova Camp. SMN*,25.4,,,
-90.37,19.94,PETENES,CAMP,Los Petenes Camp. SMN*,21.9,,,
-99.2,19.3,DATDF,CDMX,DesviaciÛn Alta Cd. de MÈx.,8.7,,,
-99.17,19.45,CBIDF,CDMX,Escuela Nacional de Ciencias BiolÛgicas IPN Cd. de MÈx. SMN*,10.2,,,
-99.07,19.47,SJADF,CDMX,San Juan de AragÛn Cd. de MÈx.,8.2,,,
-99.14,19.52,CEADF,CDMX,Campamento Amealco Cd. de MÈx.,8.2,,,
-99.17,19.13,ELGUARDA,CDMX,El Guarda Cd. de MÈx. OCAVM*,0.8,,,
-99.2,19.27,ECOGUARDAS,CDMX,Ecoguardas Ajusco Cd. de MÈx. SMN*,6.7,,,
-99.1,19.39,TEZDF,CDMX,Tezontle Cd. de MÈx. SMN*,10.6,,,
-99.16,19.35,ENP6,CDMX,Escuela Nacional Preparatoria 6 Cd. de MÈx. UNAM*,10.7,,,
-99.2,19.41,CTMDF,CDMX,Observatorio de Tacubaya Cd. de MÈx.,9.9,,,
-99.17,19.45,CBIOLOGIPN,CDMX,Eescuela Nacional de Ciencias BiolÛgicas IPN Cd. de MÈx. OCAVM*,9.6,,,
-99.09,19.48,GCNDF,CDMX,km 6+250 Cd. de MÈx.,5.9,,,
-99.2,19.4,TACUBAYAob,CDMX,Observatorio de Tacubaya Cd. de MÈx. SMN*,10.5,,,
-105.16,26.74,VICCH,CHIH,Villa Coronado Chih.,3.3,,,
-107.07,26.81,GRCCH,CHIH,Guerachi Chih.,14.7,,,
-107.88,26.87,IGNCH,CHIH,San Ignacio Chih.,11.2,,,
-107.88,26.87,INGCH,CHIH,San Ignacio Chih.,11.4,,,
-107.97,26.94,TBRSI,CHIH,San Francisco Chih.,13.5,,,
-107.72,27.03,BTPCH,CHIH,Batopilas Chih.,18.0,,,
-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,19.2,,,
-107.91,27.22,URECH,CHIH,Urique Chih.,17.3,,,
-108.54,27.42,CNDCH,CHIH,ChÌnipas Chih.,14.5,,,
-105.81,27.45,VZRCH,CHIH,Valle de Zaragoza Chih.,5.8,,,
-105.41,27.54,LBQCH,CHIH,La Boquilla Chih.,7.1,,,
-105.63,28.17,FIMCH,CHIH,Francisco I. Madero Chih.,8.6,,,
-108.21,28.21,BSSCH,CHIH,Basaseachi Chih.,-0.3,,,
-107.48,28.48,AGZCH,CHIH,Abraham Gonz·lez Chih.,1.3,,,
-106.09,28.66,QIJCH,CHIH,Observatorio de Chihuahua Chih.,7.3,,,
-105.28,28.98,LLNCH,CHIH,Ing. Luis L. LeÛn Chih.,9.4,,,
-108.3,29.2,GPCCH,CHIH,Guapoca Chih.,2.6,,,
-107.38,29.56,TNTCH,CHIH,El Tintero Chih.,5.8,,,
-104.41,29.56,OJNCH,CHIH,Ojinaga Chih.,7.4,,,
-107.03,29.88,LJSCH,CHIH,Las Lajas Chih.,3.8,,,
-106.4,31.74,CJZCH,CHIH,Ciudad Ju·rez Chih.,6.0,,,
-105.38,27.41,CL2CH,CHIH,Colina hidromÈtrica Chih.,2.2,,,
-106.22,27.45,BOCADELRIO,CHIH,Boca del RÌo Chih. SGT*,6.4,,,
-107.26,28.77,BACCH,CHIH,BachÌniva Chih.,3.8,,,
-106.77,26.23,CHNCH,CHIH,Chinat˙ Chih. SMN*,0.6,,,
-107.07,26.82,GCCCH,CHIH,Guachochi Chih. SMN*,-0.2,,,
-106.35,26.95,CONCHOSob,CHIH,Observatorio de Conchos Chih. SMN*,5.1,,,
-104.91,27.11,JIMENEZCHIH,CHIH,JimÈnez Chih. SMN*,4.2,,,
-104.91,27.14,JIMENEZ2CHIH,CHIH,JimÈnez Chih. SGT*,5.7,,,
-108.54,27.39,CHICH,CHIH,ChÌnipas Chih. SMN*,12.2,,,
-107.63,27.75,CRLCH,CHIH,Creel Chih.,3.6,,,
-107.99,27.86,MAGCH,CHIH,Maguarichi Chih. SMN*,11.6,,,
-105.77,27.99,VILLALBA,CHIH,Villalba Chih. SGT*,6.9,,,
-105.5,28.17,DELICIAS,CHIH,Ciudad Delicias Chih. SMN*,9.9,,,
-108.21,28.2,BASCH,CHIH,Basaseachi Chih. SMN*,-0.5,,,
-106.84,28.4,CDCUAUHTEMOC,CHIH,Ciudad CuauhtÈmoc Chih. SMN*,7.7,,,
-107.48,28.48,PABRGONZALEZ,CHIH,Presa Abraham Gonz·lez Chih. SGT*,3.4,,,
-106.03,28.67,CHIHUAHUAob,CHIH,Observatorio de Chihuahua Chih. SMN*,7.5,,,
-106.49,28.8,MAJALCA,CHIH,Cumbres de Majalca Chih. SMN*,-2.6,,,
-107.82,28.95,TEMOSACHICob,CHIH,Observatorio de TemÛsachic Chih. SMN*,-1.8,,,
-105.28,28.99,HGRANERO,CHIH,El Granero hidromÈtrica Chih. SGT*,10.4,,,
-108.43,30.84,JANOS,CHIH,Janos Chih. SMN*,3.4,,,
-106.43,31.69,CDJUAREZob,CHIH,Observatorio de Ciudad Ju·rez Chih. SMN*,7.4,,,
-106.39,26.47,ELVERGELSMN,CHIH,El Vergel Chih. SMN*,-2.3,,,
-105.68,26.92,PRRCH,CHIH,Observatorio de Parral Chih.,6.5,,,
-107.97,26.94,TB2CH,CHIH,Tubares 2 Chih.,13.3,,,
-105.38,27.58,COLINA,CHIH,Colina Chih. SGT*,4.1,,,
-108.52,28.15,C08182,CHIH,Moris Chih.,5.5,,,
-107.7,28.76,C08243,CHIH,Tejolocachi Chih.,-1.7,,,
-105.96,28.77,C08270,CHIH,La Mesa Chih.,5.4,,,
-106.48,28.8,C08099,CHIH,Majalca Chih.,-0.4,,,
-107.85,28.95,TMCCH,CHIH,Observatorio de TemÛsachic Chih.,-0.2,,,
-108.09,29.25,C08219,CHIH,PeÒitas Chih.,-2.9,,,
-104.43,29.58,OJINAGA,CHIH,Ojinaga Chih.SGT*,6.7,,,
-107.93,30.38,CAGCH,CHIH,Observatorio de Nuevo Casas Grandes Chih.,5.1,,,
-92.4,15,HUECP,CHIS,Huehuet·n Chis.,24.4,,,
-92.48,15.97,CATARINITAS,CHIS,Catarinitas Chis. SGT*,22.1,,,
-92.26,14.91,TAPCP,CHIS,Tapachula Chis.,23.7,,,
-92.47,15.13,HUICP,CHIS,Huixtla Chis.,24.7,,,
-92.58,15.2,DESCP,CHIS,Despoblado Chis.,17.8,,,
-92.67,15.32,ESCCP,CHIS,Escuintla Chis.,22.7,,,
-92.88,15.45,MAPCP,CHIS,Mapastepec Chis.,22.3,,,
-92.95,15.5,ELNCP,CHIS,El Novillero Chis.,23.2,,,
-93.22,15.69,PIJCP,CHIS,Pijijiapan Chis.,23.9,,,
-92.28,15.75,CHMCP,CHIS,Chicomuselo Chis.,16.3,,,
-92.24,15.78,SMICP,CHIS,San Miguel Chis.,18.0,,,
-93.06,16.45,SDOCP,CHIS,Santo Domingo Chis.,18.5,,,
-91.97,15.85,PCOCP,CHIS,Puente Concordia Chis.,16.8,,,
-92.72,15.87,JAPCP,CHIS,Jaltenango Chis.,18.8,,,
-93.53,15.88,TPICP,CHIS,Tres Picos Chis.,23.1,,,
-92.67,15.92,REFCP,CHIS,Reforma Chis.,16.6,,,
-93.08,16.16,REVCP,CHIS,RevoluciÛn Mexicana Chis.,18.1,,,
-92.1,16.2,COOCP,CHIS,Observatorio de Comit·n Chis.,14.4,,,
-92.48,16.31,CASCP,CHIS,Cascajal Chis.,18.2,,,
-92.78,16.4,ANGCP,CHIS,Doctor Belisario DomÌnguez Chis.,18.4,,,
-92.8,16.55,ACACP,CHIS,Acala Chis.,19.6,,,
-90.7,16.58,LACCP,CHIS,Lacant˙n Chis.,20.3,,,
-93.15,16.64,BOQCP,CHIS,BoquerÛn Chis.,18.8,,,
-92.63,16.73,SCOCP,CHIS,Observatorio de San CristÛbal Chis.,10.7,,,
-93.13,16.75,TXOCP,CHIS,Observatorio de Tuxtla GutiÈrrez Chis.,20.2,,,
-93.1,16.76,TUXCP,CHIS,Tuxtla Oriente Chis.,20.6,,,
-93.15,16.76,TUXTLAGTZob,CHIS,Observatorio de Tuxtla GutiÈrrez Chis. SMN*,20.6,,,
-93.1,16.94,CHICP,CHIS,Manuel Moreno Torres Chis.,20.1,,,
-93.12,16.98,GRICP,CHIS,Grijalva Chis.,18.9,,,
-93.33,17.12,YAMCP,CHIS,YamonhÛ Chis.,19.8,,,
-93.38,17.42,SAYCP,CHIS,Sayula Chis.,20.9,,,
-93.01,17.25,TAPILULA,CHIS,Tapilula Chis. SGT*,17.9,,,
-93.46,17.45,PENCP,CHIS,¡ngel Albino Corzo Chis.,22.1,,,
-92.35,17.57,SAACP,CHIS,Salto de Agua Chis.,20.9,,,
-92.97,15.73,CUXTEPEQUES,CHIS,Finca Cuxtepeques Chis. SGT*,16.5,,,
-92.18,14.63,ILRAYON,CHIS,Ignacio LÛpez RayÛn Chis. SGT*,23.0,,,
-92.3,15.12,ARGOVIA,CHIS,Finca Argovia Chis. SGT*,19.2,,,
-93.25,16.25,VILLAFLORES,CHIS,Villaflores Chis. SGT*,18.5,,,
-91.71,16.38,CHAYABE,CHIS,Finca ChayabÈ Chis. SGT*,14.9,,,
-93.56,16.69,LASFLORESII,CHIS,Las Flores Dos Chis. SGT*,19.3,,,
-92.62,16.74,SCRCP,CHIS,Puente Morelos Chis.,9.9,,,
-92.32,15.56,SILTEPEC,CHIS,Siltepec Chis. SGT*,18.5,,,
-93.07,16.72,TXZCP,CHIS,Tuxtla GutiÈrrez Zoomat Chis.,19.3,,,
-92.37,16.89,CANCUC,CHIS,Cancuc Chis. SGT*,15.5,,,
-92.33,15.17,FHACP,CHIS,Finca Hamburgo Chis.,18.4,,,
-92.3,14.89,TAPACHULAob,CHIS,Observatorio de Tapachula Chis. SMN*,25.6,,,
-92.15,14.7,SUCHIATE,CHIS,Suchiate Chis. SGT*,23.4,,,
-92.4,14.7,PTOCHIAPASMAR,CHIS,Puerto Chiapas Chis. SEMAR*,24.0,,,
-92.76,15.07,LAENCRUCIJADA,CHIS,La Encrucijada Chis. SGT*,22.5,,,
-92.76,15.07,ENCRUCIJADA,CHIS,La Encrucijada Chis. SMN*,24.0,,,
-92.67,15.33,ESCUINTLA,CHIS,Escuintla Chis. SMN*,22.3,,,
-93.86,16.06,PAREDONMAR,CHIS,ParedÛn Chis. SEMAR*,24.5,,,
-93.08,16.17,CREDREVOLUCIONM,CHIS,Cred RevoluciÛn Mexicana Chis. SMN*,18.9,,,
-92.13,16.23,COMITANob,CHIS,Observatorio de Comit·n Chis. SMN*,18.9,,,
-93.91,16.24,CREDARRIAGA,CHIS,Cred Arriaga Chis. SMN*,24.9,,,
-92.48,16.55,TEOPISCA,CHIS,Teopisca Chis. SGT*,12.1,,,
-93.56,16.69,LASFLORESCFE,CHIS,Las Flores Chis. CFE*,19.5,,,
-92.34,16.85,OXCHUC,CHIS,Oxchuc Chis. SGT*,9.5,,,
-93.55,17.35,SITALA,CHIS,Sitala Chis. SGT*,16.2,,,
-92.83,17.37,ESCALONCP,CHIS,El EscalÛn Chis. SGT*,18.7,,,
-91.92,17.44,FIMADERO,CHIS,Francisco I. Madero Chis. SGT*,20.1,,,
-91.7,17.47,CHACAMAX,CHIS,Chacamax Chis. SGT*,22.5,,,
-91.99,17.53,PLQCP,CHIS,Palenque Chis. SMN*,21.6,,,
-92.33,17.56,SALTODEAGUA,CHIS,Salto de Agua Chis. SGT*,21.9,,,
-92.25,15.36,CREDMOTOZINTLA,CHIS,Cred Motozintla Chis. SMN*,16.2,,,
-93.9,16.24,AROCP,CHIS,Observatorio de Arriaga Chis.,22.2,,,
-93.56,16.7,LFLCP,CHIS,Las Flores Chis.,19.6,,,
-91.52,16.81,MAZULES,CHIS,Montes Azules Chis. SMN*,18.5,,,
