Lon,Lat,Clave,Edo,Est,Tmin
-102.32,21.7,MMAS,AGS,Aeropuerto Internacional de Aguascalientes Ags.*,7.4
-102.37,21.78,NGRAG,AGS,El Ni·gara Ags.,5.2
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,4.5
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,7.1
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,7.3
-101.99,21.9,CNSAG,AGS,Los Conos Ags.,4.5
-102.68,22,CDRAG,AGS,La Codorniz Ags.,8.6
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,6.6
-102.42,22.14,PECAG,AGS,Plutarco ElÌas Calles Ags.,7.2
-102.28,22.15,PBLAG,AGS,PabellÛn Ags.,5.4
-102.46,22.19,P50ANIV,AGS,Presa Cincuenta Aniversario Ags. SMN*,7.6
-102.14,22.2,PTOAG,AGS,Puerto de la ConcepciÛn Ags.,7.6
-102.44,22.24,PTRAG,AGS,Derivadora PabellÛn Ags.,6.9
-102.61,22.27,SIERRAFRIA,AGS,Sierra FrÌa Ags. SMN*,4.3
-102.3,22.36,CSOAG,AGS,CosÌo Ags.,-1.1
-102.18,21.74,BRTAG,AGS,San Bartolo Ags.,6.2
-102.19,21.83,CLVAG,AGS,Calvillo Ags.,0.4
-102.11,21.88,SNVAG,AGS,Sandovales Ags.,2.6
-101.97,21.92,PALAG,AGS,Palo Alto Ags.,5.2
-102.2,22.01,CHOAG,AGS,CaÒada Honda Ags.,2.2
-102,22.02,NVLAG,AGS,El Novillo Ags.,1.9
-102.07,22.1,VJZAG,AGS,Villa Ju·rez Ags.,0.5
-102.5,21.88,AGUASCALIENTESo,AGS,Observatorio de Aguascalientes Ags. SMN*,6.8
-102.59,22.18,ALMAG,AGS,Alamitos Ags.,2.2
-114.72,29.73,CATAVINA,BC,CataviÒa B.C. SMN*,7.0
-116.91,32.44,ALRBN,BC,Abelardo L. RodrÌguez B.C.,8.8
-116.83,32.47,EFLBN,BC,El Florido B.C.,8.7
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,8.7
-114.73,32.7,PDMBN,BC,Presa derivadora Morelos B.C.,10.6
-115.27,32.39,MXCBN,BC,Mexicali B.C.,11.2
-115.93,30.52,ENBBN,BC,San QuintÌn B.C.,9.6
-115.94,30.53,SQNBN,BC,San QuintÌn B.C. SMN*,9.4
-116.6,31.89,PLOPEZZAMORA,BC,Presa Emilio LÛpez Zamora B.C. SMN*,10.1
-117.07,32.38,PLAYAROSARITO,BC,Playa Rosarito B.C. SMN*,10.8
-116.91,32.45,PABELARLRDGZ2,BC,Abelardo L. RodrÌguez. 2 B.C. SMN*,10.6
-116.66,32.57,TECATE,BC,Tecate B.C. SMN*,7.1
-114.85,31.03,SFLBN,BC,Observatorio de San Felipe B.C.,10.5
-115.15,32.41,ENLBN,BC,Observatorio de Ejido Nuevo LeÛn B.C.,7.9
-115.46,32.67,MEXBN,BC,Mexicali B.C. SMN*,11.7
-115.5,31.1,ISANPEDR1,BC,San Pedro M·rtir B.C. UNAM*,-1.5
-116.97,32.54,MMTJ,BC,Aeropuerto Internacional de Tijuana B.C.*,9.3
-115.25,32.63,MMML,BC,Aeropuerto Internacional de Mexicali B.C.*,9.7
-115.92,32.04,CONST1857,BC,ConstituciÛn de 1857 B.C. SMN*,-1.5
-116.17,31.1,ENSBN,BC,Observatorio de Ensenada B.C.,8.8
-116.64,31.7,PTBBN,BC,Punta Banda B.C.,9.7
