idestado,idmunicipio,CVEGEO,NOMGEO,anio,nomcicloproductivo,ventana_ini,ventana_fin,tmin_ciclo_mean,tmax_ciclo_mean,tmean_ciclo,dias_helada,gdd_ciclo,tmean_inicio,tmean_preseason,tmean_prev90,n_dias_con_dato,n_dias_prev90
1,1,01001,Aguascalientes,2016,OI,2015-11-01,2016-05-01,8.388626373626373,24.912967032967032,16.650796703296702,1.0,1217.6299999999999,16.305737704918034,20.320327868852456,20.659499999999998,182,90
1,1,01001,Aguascalientes,2016,PV,2016-04-01,2016-10-01,14.091693989071036,29.00185792349727,21.54677595628415,0.0,2113.06,21.827540983606553,16.758166666666664,15.601388888888891,183,90
1,1,01001,Aguascalientes,2017,OI,2016-11-01,2017-05-01,8.6655,25.948166666666665,17.306833333333337,0.0,1315.23,16.441,20.032622950819675,20.37327777777778,180,90
1,1,01001,Aguascalientes,2017,PV,2017-04-01,2017-10-01,14.029945355191254,29.392677595628417,21.711311475409833,0.0,2143.169999999999,21.85639344262295,17.722711864406783,16.827333333333335,183,90
1,1,01001,Aguascalientes,2018,OI,2017-11-01,2018-05-01,8.450386740331492,26.021270718232046,17.23582872928177,0.0,1311.62,15.96672131147541,19.563852459016392,20.224888888888888,181,90
1,1,01001,Aguascalientes,2018,PV,2018-04-01,2018-10-01,13.803879781420763,28.872459016393442,21.338169398907105,0.0,2074.8849999999998,21.741147540983608,18.526016949152545,16.932444444444446,183,90
1,1,01001,Aguascalientes,2019,OI,2018-11-01,2019-05-01,8.017900552486187,25.08215469613259,16.550027624309394,1.0,1210.51,14.272049180327867,19.657377049180326,20.067000000000004,181,90
1,1,01001,Aguascalientes,2019,PV,2019-04-01,2019-10-01,13.893715846994537,29.325846994535514,21.609781420765028,0.0,2124.59,21.020000000000003,18.18364406779661,16.99588888888889,183,90
1,1,01001,Aguascalientes,2020,OI,2019-11-01,2020-05-01,8.635219780219781,26.208681318681315,17.421950549450546,0.0,1350.795,16.465245901639346,20.52598360655738,21.080722222222224,182,90
1,1,01001,Aguascalientes,2020,PV,2020-04-01,2020-10-01,13.732131147540983,29.921038251366117,21.82658469945355,0.0,2164.265,21.77122950819672,17.978666666666662,16.802833333333332,183,90
1,1,01001,Aguascalientes,2021,OI,2020-11-01,2021-05-01,6.881388888888889,25.77622222222222,16.328805555555554,4.0,1181.16,16.070333333333334,20.05049180327869,20.578388888888888,180,90
1,1,01001,Aguascalientes,2021,PV,2021-04-01,2021-10-01,13.405901639344263,28.665956284153005,21.03592896174863,0.0,2020.855,20.802868852459014,16.14813559322034,15.575555555555555,183,90
1,1,01001,Aguascalientes,2022,OI,2021-11-01,2022-05-01,7.327955801104973,26.731823204419886,17.02988950276243,0.0,1273.8500000000001,16.08704918032787,20.11450819672131,20.39177777777778,181,90
1,1,01001,Aguascalientes,2022,PV,2022-04-01,2022-10-01,13.987322404371586,29.97136612021858,21.97934426229508,0.0,2192.22,22.606557377049178,16.83686440677966,16.184055555555556,183,90
1,1,01001,Aguascalientes,2023,OI,2022-11-01,2023-05-01,7.641215469613259,25.99475138121547,16.817983425414365,0.0,1234.0549999999998,15.979836065573773,19.32819672131148,20.083333333333332,181,90
1,1,01001,Aguascalientes,2023,PV,2023-04-01,2023-10-01,14.175573770491802,29.12065573770492,21.648114754098362,0.0,2131.605,18.120573770491802,18.050084745762714,17.05388888888889,183,90
