LON,LAT,EDO,CLAVE,ESTACION,dic-13
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",72.1
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",124.4
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",92.2
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",96.8
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",83.41
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",117.9
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",67.5
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",94.9
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",64.61
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",99.01
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",99.52
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",103.7
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",88.42
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",57
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",74.5
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",99.8
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",69.5
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",80.01
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",113
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",92.7
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",127.1
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",113.6
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",63
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",70
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",73.3
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",13.61
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",2.7
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",2.01
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",18
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",26
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",8.12
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",22.2
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0.6
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",19.9
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",2.54
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",2.1
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",13.64
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",1
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",29.5
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",3.6
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",6.31
-114.3,27.1425,BCS,ASUBS,"Bahía Asunción, B.C.S.",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",3.1
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",25
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",5.01
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",1.3
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",3.5
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",4
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",5.3
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",2.8
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0.01
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",2
-112.111111,24.791667,BCS,SCRBS,"Puerto San Carlos, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",0
-112.332778,26.629167,BCS,SMTBS,"San Martín, B.C.S.",0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0
-109.986111,23.172222,BCS,SVSBS,"San Vicente de la Sierra, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",64.5
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",79
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",47.9
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",240.9
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",81
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",55.5
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",119
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",41.9
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",76.1
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",57.3
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",26.1
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",46.9
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",364
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",124
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",35.92
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",82.6
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",0
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",55
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",14
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",171.8
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",125.3
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",128.1
-106.388333,26.474167,CHIH,C08061,"El Vergel, Chih.",14.1
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",0
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",90
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",0
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",6.02
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",59.6
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",10.02
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",2.54
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",9.4
-108.544722,27.430278,CHIH,CHINIPASCFE,"Chínipas, Chih. CFE*",80
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",4.03
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",100.3
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",1.5
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",108.52
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",56
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",9.01
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",6
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",106.95
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",115.22
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",90.4
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",118
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",9.4
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0.03
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",1
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",4
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",27.44
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",44.8
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",4.85
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",3.8
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",9.92
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",9.61
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",129.9
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",0
-107.816667,28.95,CHIH,TEMOSACHICob,"Observatorio de Temósachic, Chih. SMN*",55.8
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",64.5
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",0.01
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",163.2
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",16.03
-106.505,30.615556,CHIH,VillaAhumada,"Villa Ahumada, Chih. SMN*",8.6
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",124
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",3.7
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",0
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",1.5
-92.874722,17.189444,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",282
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",1126
-91.108333,16.785833,CHIS,BONAMPAK,"Bonampak, Chis. SMN*",23.25
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",6.21
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",0.92
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",23
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",38.8
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",15.2
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",14.4
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",23.66
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitán, Chis. PC*",11.85
-92.246111,15.356667,CHIS,CREDMOTOZINTLA,"Cred Motozintla, Chis. SMN*",0
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",2.2
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",6.1
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",89.2
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",596.4
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",623
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",77
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",18.8
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",935.4
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",0
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",3.3
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",2.41
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",235.6
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",376.9
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",345
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",4.3
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",867.1
