LON,LAT,EDO,CLAVE,ESTACION,jul-14
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",109.3
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",186
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",186
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",218.1
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",39.9
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",62.5
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",72.2
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",78
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",95.6
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",70
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",89.1
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",91.55
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",102.4
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",107.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",97.9
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",156.8
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",86.5
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",138.3
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",145
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",86.3
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",102
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",138.4
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",133.5
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",195
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",191.3
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0.7
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",10.3
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",2.3
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",8.5
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0.01
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",1.43
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",1
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",13.23
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",2.76
-114.3,27.1425,BCS,ASUBS,"Bahía Asunción, B.C.S.",224.5
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",80
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",63
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",42
