LON,LAT,EDO,CLAVE,ESTACION,ago-14
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",108.8
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",133.5
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",57.2
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",115.2
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",107.76
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",131.5
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",170.9
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",182.3
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",96.7
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",106
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",73.8
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",146.73
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",98.4
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",46.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",89.8
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",53
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",107.5
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",61
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",98.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",56.5
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",72.7
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",131.8
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",84.6
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",99
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",61.9
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",14.7
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",1.3
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",0
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",1.01
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",3.7
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",1.5
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0.02
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",13.51
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",12.8
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",41.8
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",14.73
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",47.02
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",0.75
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",1.8
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",14.2
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",5
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",3.4
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",0
-114.3,27.1425,BCS,ASUBS,"Bahía Asunción, B.C.S.",164.2
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",85.6
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",22.4
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",64.5
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",2
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",20
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",105.9
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",11.4
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",23
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",42
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",70.03
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",207.6
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",17.03
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",85.5
-112.111111,24.791667,BCS,SCRBS,"Puerto San Carlos, B.C.S.",164.2
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",152
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",196.4
-112.332778,26.629167,BCS,SMTBS,"San Martín, B.C.S.",164.2
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",151.91
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",2.1
-109.986111,23.172222,BCS,SVSBS,"San Vicente de la Sierra, B.C.S.",164.2
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",123.5
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",171.5
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",74.4
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",220.5
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",90.3
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",206.5
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",262.6
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",162
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",226.2
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",227.2
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",328.61
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",272.1
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",322.51
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",101.3
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",215
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",190.5
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",235.9
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",81
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",265
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",93.75
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",209.1
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",192.6
-106.388333,26.474167,CHIH,C08061,"El Vergel, Chih.",327.2
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",215
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",131.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",87.4
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",67.7
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",134.6
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",254
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",98.32
-108.544722,27.430278,CHIH,CHINIPASCFE,"Chínipas, Chih. CFE*",222.5
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",79.1
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",227.51
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",6.25
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",213
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",124.6
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",28.1
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",69.52
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",175.91
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",187.1
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",83.6
-104.912778,27.126667,CHIH,JMNCH,"Jiménez, Chih.",51.42
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",40.05
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",127.31
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",59.53
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",227.08
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",296.8
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",47.5
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",85.02
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",131.62
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",149.6
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",112.3
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",220.53
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",89.8
-107.816667,28.95,CHIH,TEMOSACHICob,"Observatorio de Temósachic, Chih. SMN*",194.2
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",217.33
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",158.54
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",305.71
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",149.04
-106.505,30.615556,CHIH,VILLAAHUMADA,"Villa Ahumada, Chih. SMN*",118.6
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",179.73
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",140
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",77.4
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",146.8
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",198.61
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",387.9
-91.108333,16.785833,CHIS,BONAMPAK,"Bonampak, Chis. SMN*",1
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",142.12
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",332.22
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",228.03
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",220.62
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",337.11
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",164.3
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",103.6
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",108.44
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitán, Chis. PC*",90.3
-92.246111,15.356667,CHIS,CREDMOTOZINTLA,"Cred Motozintla, Chis. SMN*",79.55
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",166.2
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",421.53
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",254
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",291.54
-92.8975,15.994444,CHIS,ELPORTILLO,"El Portillo, Chis. SGT*",255.4
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",355.4
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",66.6
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",291
-92.655833,15.330833,CHIS,ESCCP,"Escuintla, Chis.",348.8
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",238.9
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",566.5
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",144.91
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",513.5
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",334.51
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",5.7
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",301.71
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",113.91
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",120.8
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",126.23
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",150.6
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",229.8
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",157.7
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",539.54
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",10.3
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",197.3
-93.150556,17.225833,CHIS,OCOTEPEC,"Ocotepec, Chis. SGT*",239.2
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",144.21
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",339.21
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",387.33
-92.4,14.7,CHIS,PTOCHIAPASmar,"Puerto Chiapas, Chis. SEMAR*",71.47
