LON,LAT,EDO,CLAVE,ESTACION,feb-15
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",26.6
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",38.3
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",25.8
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",25.9
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",18.62
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",24.7
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",29.5
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",21.8
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",49
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",41.9
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",46.51
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",27.5
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",17.7
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",28.9
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",42
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",21
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",30.8
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",38.3
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",30.8
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",55.9
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",103
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",18.4
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",23
-102.318611,21.915556,AGS,UNIVERSIDAD,"Universidad, Ags. INIFAP*",21.6
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",25.4
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",31.11
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",0.76
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",19.3
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",69.8
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",28.1
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",6.51
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",34.71
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",1.01
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",28.91
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0.2
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",26.6
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",6.5
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-114.3,27.1425,BCS,ASUBS,"Bahía Asunción, B.C.S.",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",9.1
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",2.8
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",7
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",11.3
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",20
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",19.2
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",40
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0.01
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",55.5
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",0
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",15.6
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",4.3
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",5
-112.111111,24.791667,BCS,SCRBS,"Puerto San Carlos, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",18
-112.332778,26.629167,BCS,SMTBS,"San Martín, B.C.S.",0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",21.2
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",23
-109.986111,23.172222,BCS,SVSBS,"San Vicente de la Sierra, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",40
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",2.2
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",25
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",25.4
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",15.5
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",6
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",40
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",2.9
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",17.1
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",42.11
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",4.5
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",36.1
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",14
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",25.52
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",15.21
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",0
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",0
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",11.5
-107.395556,28.525833,CHIH,BASUCHIL,"Basuchil, Chih. INIFAP*",18
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",75.2
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",51.2
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",39.6
-106.953056,28.065,CHIH,BUENAVISTACH2,"Buena Vista 2, Chih. INIFAP*",27
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",0
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",0
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",0
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",0
