LON,LAT,EDO,CLAVE,ESTACION,may-16
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",3
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",14
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",4
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",3.5
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",4.53
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",12.7
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",6
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",6.6
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",7.9
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",1
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",3.9
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",3.52
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",2.2
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",4
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",4.3
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",10
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",2.4
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",8
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",4.5
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",8.8
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",1
-102.318611,21.915556,AGS,UNIVERSIDAD,"Universidad, Ags. INIFAP*",8.4
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",0.8
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",24.72
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",11
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",10.31
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",5.7
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",2.5
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0.01
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",5.3
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",5.5
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",31.1
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-114.3,27.1425,BCS,ASUBS,"Bahía Asunción, B.C.S.",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.01
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.01
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",6
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",3.5
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0.7
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0.01
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0.04
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",1.02
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",5.2
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0.02
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",2
-112.111111,24.791667,BCS,SCRBS,"Puerto San Carlos, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",9.4
-112.332778,26.629167,BCS,SMTBS,"San Martín, B.C.S.",0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",5.43
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",9.01
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",165.3
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",16.01
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",0
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",3
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",74
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",68.1
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",10.3
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",51.91
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",78.5
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",103.6
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",41
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",20.81
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",0
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",89.4
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",0
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",1.51
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",12
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",13.4
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",4.8
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",4.01
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",31
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",0
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",2.3
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",59.5
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",3.31
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",19.54
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",0
-108.544722,27.430278,CHIH,CHINIPASCFE,"Chínipas, Chih. CFE*",1
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",21.77
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",6
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",0
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",20.75
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",13
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",3.61
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",17.06
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",9
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",11.71
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",18.81
