LON,LAT,EDO,CLAVE,ESTACION,sep-16
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",84.2
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",51
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",98.8
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",44.5
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",39.03
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",31.5
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",69.8
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",47.4
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",50.1
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",46.2
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",91.3
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",47.73
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",63.8
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",72
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",48.5
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",73.4
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",37.5
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",86.9
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",78.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",82.4
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",83.4
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",54.8
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",56
-102.318611,21.915556,AGS,UNIVERSIDAD,"Universidad, Ags. INIFAP*",94.6
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",47
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",33.51
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",4.29
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",35.7
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",38.8
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",25.4
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",8.5
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",25.4
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",52
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0.76
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",3.32
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",29.4
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",2.51
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",19.1
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",31
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",11.4
-114.3,27.1425,BCS,ASUBS,"Bahía Asunción, B.C.S.",401
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",141.7
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",215.6
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",82
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.02
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",44
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",88.3
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",111.5
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",138.01
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",66.52
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",64.52
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",131.6
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",65.01
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",210
-112.111111,24.791667,BCS,SCRBS,"Puerto San Carlos, B.C.S.",401
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",87.51
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",281.8
-112.332778,26.629167,BCS,SMTBS,"San Martín, B.C.S.",401
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",83.63
-109.986111,23.172222,BCS,SVSBS,"San Vicente de la Sierra, B.C.S.",401
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",162.01
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",168
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",65.4
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",313.21
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",307.91
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",160.83
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",196
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",339.95
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",198.3
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",241.21
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",140
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",245
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",345.4
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",345.4
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",225.72
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",164.12
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",76.8
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",45.5
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",29.5
-107.395556,28.525833,CHIH,BASUCHIL,"Basuchil, Chih. INIFAP*",24.4
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",172.9
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",136.1
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",161.61
-106.953056,28.065,CHIH,BUENAVISTACH2,"Buena Vista 2, Chih. INIFAP*",32.8
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",70.5
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",64.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",22.9
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",93.7
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",101.95
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",18.16
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",13.23
-108.544722,27.430278,CHIH,CHINIPASCFE,"Chínipas, Chih. CFE*",32.6
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",148.62
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",62
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",92.8
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",8.5
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",180.05
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",97.81
