LON,LAT,EDO,CLAVE,ESTACION,nov-16
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",27.8
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",41.4
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",29.4
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",47
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",25.16
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",20.3
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",35.7
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",30.5
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",42
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",78.5
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",33.1
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",20.62
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",30.7
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",61
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",33.2
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",35.2
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",39.5
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",34
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",30.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",39.1
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",52.3
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",42.4
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",48
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",51
-102.318611,21.915556,AGS,UNIVERSIDAD,"Universidad, Ags. INIFAP*",24.4
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",41.9
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",22.61
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",1.5
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",22.3
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",25.4
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",11.8
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",11.8
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",25.2
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",2.03
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0.2
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",4.53
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0.23
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",55.1
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",10.5
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-114.3,27.1425,BCS,ASUBS,"Bahía Asunción, B.C.S.",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",2.4
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.01
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0.02
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",1
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.03
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",1.1
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0
-112.111111,24.791667,BCS,SCRBS,"Puerto San Carlos, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",41.6
-112.332778,26.629167,BCS,SMTBS,"San Martín, B.C.S.",0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",3
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",40
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",3.6
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",1.01
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",84.9
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",8.5
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",33
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",93.52
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",22.5
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",73.42
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",22
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",32.41
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",43.5
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",60.4
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",13.2
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",41.31
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",52.9
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",3.5
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",2
-107.395556,28.525833,CHIH,BASUCHIL,"Basuchil, Chih. INIFAP*",5
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",3.9
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",0
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",25
-106.953056,28.065,CHIH,BUENAVISTACH2,"Buena Vista 2, Chih. INIFAP*",5
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",0
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",0
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",0
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",9.5
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",0.21
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",7
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",10.5
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",4.06
-108.544722,27.430278,CHIH,CHINIPASCFE,"Chínipas, Chih. CFE*",0.3
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",8.33
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",13
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",0.91
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",4.75
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",2
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",11.6
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",16.01
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",0.2
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",1.3
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",0
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",0.2
-104.912778,27.126667,CHIH,JMNCH,"Jiménez, Chih.",10.52
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",6.52
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",0.6
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",17.71
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",7.88
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",9
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",3.51
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",5.05
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",8.42
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",11.6
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",0.4
-107.491667,29.035556,CHIH,SOTOMAINEZ,"Soto Mainez, Chih. INIFAP*",0
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",5.6
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",0
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",0.01
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",0.01
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",0
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",41.06
-106.505,30.615556,CHIH,VILLAAHUMADA,"Villa Ahumada, Chih. SMN*",1
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",0.01
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",0
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",10.2
-92.114167,17.248889,CHIS,AGUAAZUL,"Agua Azul, Chis. SGT*",107.1
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",98.8
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",1.22
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",0.02
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",512.9
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",20.2
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",11.5
-91.108333,16.785833,CHIS,BONAMPAK,"Bonampak, Chis. SMN*",2.25
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",3.6
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",132.92
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",12
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",18
-91.949722,17.85,CHIS,CATAZAJA,"Catazajá, Chis. SGT*",0
-93.117222,16.757778,CHIS,CENTRO2APTE,"Centro Segunda Poniente, Chis. SGT*",2.8
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",106.8
-91.710278,16.383056,CHIS,CHAYABE,"Finca Chayabé, Chis. SGT*",215.3
-92.715556,16.578056,CHIS,CHIAPILLA,"Villa de Chiapilla, Chis. SGT*",34.3
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",24
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",12.92
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",28.8
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",9
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",37.8
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",34.04
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitán, Chis. PC*",27.13
-92.246111,15.356667,CHIS,CREDMOTOZINTLA,"Cred Motozintla, Chis. SMN*",9.59
-93.15,16.730556,CHIS,CRISTALTV,"Cristal TV Azteca, Chis. SGT*",3.4
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",30.8
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",10.2
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidrométrica, Chis. SGT*",23.4
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",329.9
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",7.1
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",11
-92.828611,16.787778,CHIS,ELBURRERO,"El Burrero, Chis. SGT*",19.2
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",41.5
-92.8975,15.994444,CHIS,ELPORTILLO,"El Portillo, Chis. SGT*",38
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",104.4
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",27.8
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",337.5
-92.655833,15.330833,CHIS,ESCCP,"Escuintla, Chis.",172
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",624.1
-92.918333,17.441389,CHIS,FIMADERO,"Francisco I. Madero, Chis. SGT*",651.7
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",23.8
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",227.83
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",392.2
