CVEGEO,idestado,idmunicipio,NOMGEO,altitud_media_m,altitud_min_m,altitud_max_m,altitud_std_m,n_puntos
01001,1,1,Aguascalientes,1921.8,1795.0,2093.0,82.7,13
01002,1,2,Asientos,2038.4,1973.0,2129.0,43.4,8
01003,1,3,Calvillo,1975.9,1563.0,2402.0,262.0,16
01004,1,4,Cosío,2029.7,1939.0,2225.0,91.9,14
01005,1,5,Jesús María,2042.6,1863.0,2280.0,125.6,13
01006,1,6,Pabellón de Arteaga,1971.5,1892.0,2243.0,107.3,12
01007,1,7,Rincón de Romos,2078.0,1924.0,2341.0,143.0,11
01008,1,8,San José de Gracia,2344.9,2053.0,2874.0,232.4,15
01009,1,9,Tepezalá,2019.6,1921.0,2148.0,77.1,13
01010,1,10,El Llano,2048.3,1987.0,2292.0,80.3,11
01011,1,11,San Francisco de los Romo,1943.9,1891.0,2031.0,45.5,12
02001,2,1,Ensenada,1012.4,388.0,1557.0,434.0,5
02002,2,2,Mexicali,61.4,-2.0,313.0,113.3,11
02003,2,3,Tecate,917.3,436.0,1403.0,305.0,18
02004,2,4,Tijuana,276.6,121.0,519.0,121.8,9
02005,2,5,Playas de Rosarito,320.9,98.0,560.0,141.6,9
02006,2,6,San Quintín,297.0,167.0,409.0,107.0,4
02007,2,7,San Felipe,333.3,177.0,521.0,114.1,6
03001,3,1,Comondú,142.5,65.0,322.0,105.4,4
03002,3,2,Mulegé,390.6,4.0,1161.0,416.1,8
03003,3,3,La Paz,245.0,71.0,634.0,196.6,8
03008,3,8,Los Cabos,414.2,71.0,1302.0,360.0,12
03009,3,9,Loreto,491.4,86.0,1019.0,320.4,9
04001,4,1,Calkiní,9.0,1.0,34.0,10.8,7
04002,4,2,Campeche,47.5,23.0,67.0,17.9,4
04003,4,3,Carmen,8.5,-3.0,43.0,15.4,8
04004,4,4,Champotón,50.3,9.0,87.0,32.1,11
04005,4,5,Hecelchakán,58.2,-1.0,105.0,39.3,12
04006,4,6,Hopelchén,143.4,82.0,218.0,31.5,14
04007,4,7,Palizada,3.8,-1.0,15.0,4.7,12
04008,4,8,Tenabo,29.4,3.0,85.0,27.6,11
04009,4,9,Escárcega,92.8,52.0,162.0,33.8,12
04010,4,10,Calakmul,217.4,74.0,305.0,63.1,17
04011,4,11,Candelaria,59.5,31.0,97.0,20.7,12
04012,4,12,Seybaplaya,25.6,2.0,79.0,25.7,14
04013,4,13,Dzitbalché,49.0,8.0,78.0,18.0,11
05001,5,1,Abasolo,479.2,402.0,840.0,117.3,12
05002,5,2,Acuña,792.2,359.0,1549.0,346.1,16
05003,5,3,Allende,436.8,379.0,542.0,43.3,10
05004,5,4,Arteaga,2433.3,1729.0,3236.0,407.8,12
05005,5,5,Candela,743.6,359.0,1404.0,284.6,15
05006,5,6,Castaños,1089.2,808.0,1462.0,224.7,13
05007,5,7,Cuatro Ciénegas,1164.2,731.0,1819.0,367.6,11
05008,5,8,Escobedo,459.4,359.0,568.0,61.5,8
05009,5,9,Francisco I. Madero,1227.0,1075.0,1632.0,203.3,13
05010,5,10,Frontera,630.8,505.0,859.0,103.1,10
05011,5,11,General Cepeda,1323.3,1145.0,1692.0,172.0,11
05012,5,12,Guerrero,263.0,227.0,320.0,33.9,13
05013,5,13,Hidalgo,192.6,163.0,236.0,21.0,11
05014,5,14,Jiménez,348.1,271.0,420.0,44.0,15
05015,5,15,Juárez,302.7,248.0,432.0,54.8,14
05016,5,16,Lamadrid,1358.2,842.0,2068.0,307.8,13
05017,5,17,Matamoros,1118.5,1104.0,1157.0,14.2,13
05018,5,18,Monclova,636.0,496.0,947.0,121.2,12
05019,5,19,Morelos,478.6,366.0,601.0,66.8,12
05020,5,20,Múzquiz,791.9,442.0,1683.0,367.8,9
05021,5,21,Nadadores,851.3,518.0,1309.0,307.2,7
05022,5,22,Nava,294.3,264.0,329.0,17.3,13
05023,5,23,Ocampo,1211.4,715.0,2068.0,327.1,13
05024,5,24,Parras,1431.9,1088.0,2241.0,367.6,9
05025,5,25,Piedras Negras,249.3,212.0,283.0,20.9,12
05026,5,26,Progreso,404.9,272.0,767.0,153.2,8
05027,5,27,Ramos Arizpe,1176.1,821.0,1636.0,229.3,10
05028,5,28,Sabinas,384.5,318.0,445.0,32.2,12
05029,5,29,Sacramento,923.5,587.0,1349.0,249.6,13
05030,5,30,Saltillo,2043.9,1722.0,2346.0,221.9,14
05031,5,31,San Buenaventura,1186.7,627.0,1806.0,384.9,7
05032,5,32,San Juan de Sabinas,431.3,376.0,495.0,34.8,11
05033,5,33,San Pedro,1119.9,860.0,1531.0,196.7,11
05034,5,34,Sierra Mojada,1312.3,1060.0,1681.0,152.2,11
05035,5,35,Torreón,1607.6,1122.0,1950.0,311.8,5
05036,5,36,Viesca,1369.4,1096.0,1787.0,213.1,11
05037,5,37,Villa Unión,486.9,326.0,621.0,84.6,15
05038,5,38,Zaragoza,710.7,319.0,1269.0,252.0,11
06001,6,1,Armería,207.4,-2.0,634.0,218.2,15
06002,6,2,Colima,555.9,399.0,934.0,187.0,10
06003,6,3,Comala,1036.1,521.0,1596.0,346.6,10
06004,6,4,Coquimatlán,549.9,226.0,1420.0,300.1,14
06005,6,5,Cuauhtémoc,999.9,545.0,1773.0,368.9,14
06006,6,6,Ixtlahuacán,386.6,69.0,966.0,303.2,16
06007,6,7,Manzanillo,153.0,129.0,177.0,24.0,2
06008,6,8,Minatitlán,1126.0,459.0,2182.0,460.9,11
06009,6,9,Tecomán,30.0,30.0,30.0,0.0,1
06010,6,10,Villa de Álvarez,687.6,427.0,945.0,160.4,8
07001,7,1,Acacoyagua,587.6,49.0,1296.0,410.1,16
07002,7,2,Acala,525.2,405.0,759.0,123.0,11
07003,7,3,Acapetahua,19.8,9.0,34.0,8.7,9
07004,7,4,Altamirano,1238.1,791.0,1561.0,227.7,9
07005,7,5,Amatán,689.5,148.0,1678.0,348.3,15
07006,7,6,Amatenango de la Frontera,1195.6,766.0,1690.0,291.4,10
07007,7,7,Amatenango del Valle,2116.7,1613.0,2450.0,232.0,14
07008,7,8,Ángel Albino Corzo,1151.7,638.0,1822.0,351.9,12
07009,7,9,Arriaga,242.8,7.0,707.0,227.7,13
07010,7,10,Bejucal de Ocampo,2089.6,1309.0,2704.0,431.7,12
07011,7,11,Bella Vista,1543.4,772.0,2349.0,500.7,15
07012,7,12,Berriozábal,824.3,330.0,1106.0,240.3,10
07013,7,13,Bochil,1397.6,1050.0,1818.0,231.4,12
07014,7,14,El Bosque,1108.5,693.0,1420.0,226.5,13
07015,7,15,Cacahoatán,1256.8,554.0,2562.0,568.5,15
07016,7,16,Catazajá,7.7,0.0,26.0,8.0,10
07017,7,17,Cintalapa de Figueroa,732.7,484.0,1109.0,157.0,12
07018,7,18,Coapilla,1315.0,582.0,1774.0,355.5,12
07019,7,19,Comitán de Domínguez,1783.5,1009.0,2230.0,345.4,11
07020,7,20,La Concordia,819.4,525.0,1261.0,240.9,11
07021,7,21,Copainalá,939.3,558.0,1344.0,275.4,12
07022,7,22,Chalchihuitán,1293.7,423.0,1831.0,415.9,12
07023,7,23,Chamula,2205.9,1517.0,2665.0,304.3,18
07024,7,24,Chanal,2169.8,1800.0,2552.0,214.1,9
07025,7,25,Chapultenango,764.8,417.0,1305.0,260.3,13
07026,7,26,Chenalhó,1456.6,1100.0,1854.0,258.1,7
07027,7,27,Chiapa de Corzo,655.7,389.0,1451.0,300.5,11
07028,7,28,Chiapilla,505.3,405.0,619.0,65.6,12
07029,7,29,Chicoasén,621.4,250.0,953.0,235.0,15
07030,7,30,Chicomuselo,905.6,607.0,1773.0,331.2,14
07031,7,31,Chilón,954.9,500.0,1708.0,294.6,16
07032,7,32,Escuintla,794.1,101.0,1918.0,527.2,10
07033,7,33,Francisco León,660.2,473.0,974.0,169.6,13
07034,7,34,Frontera Comalapa,702.7,579.0,873.0,77.1,15
07035,7,35,Frontera Hidalgo,48.4,32.0,75.0,12.5,14
07036,7,36,La Grandeza,2169.9,1912.0,2458.0,170.7,14
07037,7,37,Huehuetán,94.8,10.0,324.0,104.4,13
07038,7,38,Huixtán,2075.3,1750.0,2358.0,179.3,14
07039,7,39,Huitiupán,760.9,170.0,1344.0,307.1,15
07040,7,40,Huixtla,163.8,4.0,1183.0,385.5,8
07041,7,41,La Independencia,1370.0,864.0,1592.0,239.0,11
07042,7,42,Ixhuatán,975.2,578.0,1367.0,252.1,11
