anio,cosechada,idcader,idciclo,idcultivo,idddr,idestado,idmodalidad,idmunicipio,idunidadmedida,nomcader,nomcicloproductivo,nomcultivo,nomddr,nomestado,nommodalidad,nommunicipio,nomunidad,precio,rendimiento,sembrada,siniestrada,valorproduccion,volumenproduccion
2016,300.0,1,2,7490000,1,1,1,1,200201,Aguascalientes,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Riego,Aguascalientes,Tonelada,3473.32,7.49,300.0,0.0,7805071.04,2247.15
2016,5032.0,1,2,7490000,1,1,2,1,200201,Aguascalientes,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Temporal,Aguascalientes,Tonelada,3359.06,0.67,5045.0,13.0,11255639.02,3350.83
2016,266.0,1,2,7490000,1,1,1,5,200201,Aguascalientes,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Riego,Jesús María,Tonelada,3734.1,7.26,266.0,0.0,7209986.99,1930.85
2016,630.0,1,2,7490000,1,1,2,5,200201,Aguascalientes,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Temporal,Jesús María,Tonelada,3345.1,0.58,630.0,0.0,1222332.99,365.41
2016,197.0,1,2,7490000,1,1,1,10,200201,Aguascalientes,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Riego,El Llano,Tonelada,3509.84,7.48,197.0,0.0,5174206.13,1474.2
2016,7616.0,1,2,7490000,1,1,2,10,200201,Aguascalientes,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Temporal,El Llano,Tonelada,3372.23,0.5,8216.0,600.0,12816834.56,3800.7
2016,35.0,1,2,7490000,1,1,1,11,200201,Aguascalientes,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Riego,San Francisco de Los Romo,Tonelada,3789.33,7.69,35.0,0.0,1019708.7,269.1
2016,533.0,1,2,7490000,1,1,2,11,200201,Aguascalientes,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Temporal,San Francisco de Los Romo,Tonelada,3143.49,0.59,533.0,0.0,992714.14,315.8
2016,58.0,2,2,7490000,1,1,1,3,200201,Calvillo,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Riego,Calvillo,Tonelada,3759.16,5.74,58.0,0.0,1251800.28,333.0
2016,1370.0,2,2,7490000,1,1,2,3,200201,Calvillo,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Temporal,Calvillo,Tonelada,3620.8,0.67,1370.0,0.0,3337291.36,921.7
2016,640.0,3,2,7490000,1,1,1,4,200201,Pabellón,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Riego,Cosío,Tonelada,4058.19,7.53,640.0,0.0,19548300.48,4817.0
2016,1250.0,3,2,7490000,1,1,2,4,200201,Pabellón,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Temporal,Cosío,Tonelada,3123.16,0.59,1250.0,0.0,2292399.44,734.0
2016,551.0,3,2,7490000,1,1,1,6,200201,Pabellón,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Riego,Pabellón de Arteaga,Tonelada,3444.46,8.0,551.0,0.0,15183179.68,4408.0
2016,543.0,3,2,7490000,1,1,2,6,200201,Pabellón,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Temporal,Pabellón de Arteaga,Tonelada,2999.11,0.99,543.0,0.0,1609622.34,536.7
2016,1851.0,3,2,7490000,1,1,1,7,200201,Pabellón,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Riego,Rincón de Romos,Tonelada,4187.53,8.05,1851.0,0.0,62416809.66,14905.4
2016,2526.0,3,2,7490000,1,1,2,7,200201,Pabellón,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Temporal,Rincón de Romos,Tonelada,2635.76,0.78,2526.0,0.0,5212478.98,1977.6
2016,2832.0,3,2,7490000,1,1,2,8,200201,Pabellón,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Temporal,San José de Gracia,Tonelada,2842.31,0.7,2832.0,0.0,5634595.34,1982.4
2016,1490.0,3,2,7490000,1,1,1,9,200201,Pabellón,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Riego,Tepezalá,Tonelada,3906.06,7.71,1490.0,0.0,44851333.95,11482.5
2016,2123.0,3,2,7490000,1,1,2,9,200201,Pabellón,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Temporal,Tepezalá,Tonelada,3409.42,0.67,3917.0,1794.0,4849593.1,1422.41
2016,630.0,4,2,7490000,1,1,1,2,200201,Villa Juárez,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Riego,Asientos,Tonelada,3500.0,5.3,630.0,0.0,11690000.0,3340.0
2016,4525.0,4,2,7490000,1,1,2,2,200201,Villa Juárez,Primavera-Verano,Maíz grano,Aguascalientes,Aguascalientes,Temporal,Asientos,Tonelada,3500.0,0.61,4525.0,0.0,9695000.0,2770.0
2016,2.0,1,2,7490000,2,2,1,4,200201,Tijuana,Primavera-Verano,Maíz grano,Ensenada,Baja California,Riego,Tijuana,Tonelada,3980.0,4.5,2.0,0.0,35820.0,9.0
2016,0.0,3,2,7490000,2,2,2,1,200201,Ensenada,Primavera-Verano,Maíz grano,Ensenada,Baja California,Temporal,Ensenada,Tonelada,0.0,0.0,135.0,135.0,0.0,0.0
2016,21.0,4,2,7490000,2,2,1,1,200201,San Quintín,Primavera-Verano,Maíz grano,Ensenada,Baja California,Riego,Ensenada,Tonelada,3975.0,4.5,21.0,0.0,375637.5,94.5
2016,57.0,1,2,7490000,3,2,1,2,200201,Hechicera,Primavera-Verano,Maíz grano,Río Colorado,Baja California,Riego,Mexicali,Tonelada,3750.0,8.75,61.0,4.0,1870875.0,498.9
2016,111.0,2,2,7490000,3,2,1,2,200201,Benito Juárez,Primavera-Verano,Maíz grano,Río Colorado,Baja California,Riego,Mexicali,Tonelada,3680.91,9.93,111.0,0.0,4058019.23,1102.45
2016,5.0,4,2,7490000,3,2,1,2,200201,Cerro Prieto,Primavera-Verano,Maíz grano,Río Colorado,Baja California,Riego,Mexicali,Tonelada,3820.0,6.2,40.0,35.0,118420.0,31.0
2016,102.0,5,2,7490000,3,2,1,2,200201,G. Victoria,Primavera-Verano,Maíz grano,Río Colorado,Baja California,Riego,Mexicali,Tonelada,3832.39,7.54,102.0,0.0,2947414.5,769.08
2016,7.0,7,2,7490000,3,2,1,2,200201,Delta,Primavera-Verano,Maíz grano,Río Colorado,Baja California,Riego,Mexicali,Tonelada,3750.0,9.0,8.0,1.0,236250.0,63.0
2016,2.0,1,1,7490000,4,3,1,2,200201,Mulegé,Otoño-Invierno,Maíz grano,Mulegé,Baja California Sur,Riego,Mulegé,Tonelada,3650.0,4.15,2.0,0.0,30295.0,8.3
2016,4.0,1,2,7490000,4,3,1,2,200201,Mulegé,Primavera-Verano,Maíz grano,Mulegé,Baja California Sur,Riego,Mulegé,Tonelada,3650.0,4.13,4.0,0.0,60298.0,16.52
2016,3756.0,1,1,7490000,5,3,1,1,200201,Comondú,Otoño-Invierno,Maíz grano,Comondú,Baja California Sur,Riego,Comondú,Tonelada,3751.58,6.15,3756.0,0.0,86661498.0,23100.0
2016,3386.0,1,2,7490000,5,3,1,1,200201,Comondú,Primavera-Verano,Maíz grano,Comondú,Baja California Sur,Riego,Comondú,Tonelada,3501.0,7.29,3386.0,0.0,86364243.45,24668.45
2016,121.5,1,1,7490000,6,3,1,3,200201,La Paz,Otoño-Invierno,Maíz grano,La Paz,Baja California Sur,Riego,La Paz,Tonelada,4034.31,5.5,121.5,0.0,2695927.66,668.25
2016,105.0,1,2,7490000,6,3,1,3,200201,La Paz,Primavera-Verano,Maíz grano,La Paz,Baja California Sur,Riego,La Paz,Tonelada,3771.75,4.29,105.0,0.0,1698984.79,450.45
2016,70.0,1,1,7490000,7,3,1,8,200201,Santiago,Otoño-Invierno,Maíz grano,Los Cabos,Baja California Sur,Riego,Los Cabos,Tonelada,4555.59,3.81,70.0,0.0,1215203.63,266.75
2016,73.0,1,2,7490000,7,3,1,8,200201,Santiago,Primavera-Verano,Maíz grano,Los Cabos,Baja California Sur,Riego,Los Cabos,Tonelada,4526.55,3.81,73.0,0.0,1258380.9,278.0
2016,12.0,1,1,7490000,8,4,1,1,200201,Calkiní,Otoño-Invierno,Maíz grano,Hecelchakán,Campeche,Riego,Calkiní,Tonelada,2900.0,3.55,12.0,0.0,123540.0,42.6
2016,7290.0,1,2,7490000,8,4,2,1,200201,Calkiní,Primavera-Verano,Maíz grano,Hecelchakán,Campeche,Temporal,Calkiní,Tonelada,3379.83,3.04,7290.0,0.0,74836094.47,22141.97
2016,40.0,2,1,7490000,8,4,1,8,200201,Tenabo,Otoño-Invierno,Maíz grano,Hecelchakán,Campeche,Riego,Tenabo,Tonelada,2977.06,3.64,40.0,0.0,433459.94,145.6
2016,6538.0,2,2,7490000,8,4,2,8,200201,Tenabo,Primavera-Verano,Maíz grano,Hecelchakán,Campeche,Temporal,Tenabo,Tonelada,3343.26,3.52,6850.0,312.0,76855429.23,22988.17
2016,8.0,3,1,7490000,8,4,1,5,200201,Hecelchakán,Otoño-Invierno,Maíz grano,Hecelchakán,Campeche,Riego,Hecelchakán,Tonelada,3100.0,3.69,8.0,0.0,91419.0,29.49
2016,15750.0,3,2,7490000,8,4,2,5,200201,Hecelchakán,Primavera-Verano,Maíz grano,Hecelchakán,Campeche,Temporal,Hecelchakán,Tonelada,3318.95,3.41,15750.0,0.0,178435912.3,53762.76
2016,2257.0,1,1,7490000,9,4,1,2,200201,Castamay,Otoño-Invierno,Maíz grano,Campeche,Campeche,Riego,Campeche,Tonelada,3617.7,5.21,2257.0,0.0,42515572.17,11752.1
2016,260.0,1,1,7490000,9,4,2,2,200201,Castamay,Otoño-Invierno,Maíz grano,Campeche,Campeche,Temporal,Campeche,Tonelada,3600.0,3.9,260.0,0.0,3650400.0,1014.0
2016,210.0,1,2,7490000,9,4,1,2,200201,Castamay,Primavera-Verano,Maíz grano,Campeche,Campeche,Riego,Campeche,Tonelada,3456.02,3.83,210.0,0.0,2782100.0,805.0
2016,17750.0,1,2,7490000,9,4,2,2,200201,Castamay,Primavera-Verano,Maíz grano,Campeche,Campeche,Temporal,Campeche,Tonelada,3455.01,3.45,17750.0,0.0,211871140.8,61322.8
2016,35230.0,2,2,7490000,9,4,2,6,200201,Hopelchén,Primavera-Verano,Maíz grano,Campeche,Campeche,Temporal,Hopelchén,Tonelada,3448.36,3.46,35530.0,300.0,420727145.3,122008.03
2016,25781.5,3,2,7490000,9,4,2,6,200201,Dzibalchen,Primavera-Verano,Maíz grano,Campeche,Campeche,Temporal,Hopelchén,Tonelada,3413.78,3.29,26324.0,542.5,289611160.7,84835.86
2016,1674.0,3,1,7490000,9,4,2,10,200201,Dzibalchen,Otoño-Invierno,Maíz grano,Campeche,Campeche,Temporal,Calakmul,Tonelada,3528.2,1.86,1674.0,0.0,10979405.58,3111.9
2016,13050.0,3,2,7490000,9,4,2,10,200201,Dzibalchen,Primavera-Verano,Maíz grano,Campeche,Campeche,Temporal,Calakmul,Tonelada,3066.94,1.58,14916.5,1866.5,63135106.76,20585.7
2016,86.0,1,1,7490000,10,4,1,4,200201,Ciudad del Sol/Champotón,Otoño-Invierno,Maíz grano,Champotón,Campeche,Riego,Champotón,Tonelada,3500.0,4.49,86.0,0.0,1351490.0,386.14
2016,931.0,1,1,7490000,10,4,2,4,200201,Ciudad del Sol/Champotón,Otoño-Invierno,Maíz grano,Champotón,Campeche,Temporal,Champotón,Tonelada,3500.0,1.78,931.0,0.0,5784660.0,1652.76
2016,9810.0,1,2,7490000,10,4,2,4,200201,Ciudad del Sol/Champotón,Primavera-Verano,Maíz grano,Champotón,Campeche,Temporal,Champotón,Tonelada,4460.93,2.04,9810.0,0.0,89067820.57,19966.2
2016,1140.0,2,1,7490000,10,4,2,4,200201,Yohaltúm,Otoño-Invierno,Maíz grano,Champotón,Campeche,Temporal,Champotón,Tonelada,3500.0,2.16,1140.0,0.0,8603490.0,2458.14
2016,3495.0,2,2,7490000,10,4,2,4,200201,Yohaltúm,Primavera-Verano,Maíz grano,Champotón,Campeche,Temporal,Champotón,Tonelada,3500.0,1.0,3495.0,0.0,12246500.0,3499.0
2016,511.0,2,1,7490000,10,4,2,9,200201,Yohaltúm,Otoño-Invierno,Maíz grano,Champotón,Campeche,Temporal,Escárcega,Tonelada,3500.0,1.83,511.0,0.0,3272955.0,935.13
2016,5300.0,2,2,7490000,10,4,2,9,200201,Yohaltúm,Primavera-Verano,Maíz grano,Champotón,Campeche,Temporal,Escárcega,Tonelada,3500.0,0.75,5300.0,0.0,13912500.0,3975.0
2016,311.0,2,1,7490000,10,4,2,10,200201,Yohaltúm,Otoño-Invierno,Maíz grano,Champotón,Campeche,Temporal,Calakmul,Tonelada,3500.0,1.79,311.0,0.0,1948415.0,556.69
2016,4360.0,2,2,7490000,10,4,2,10,200201,Yohaltúm,Primavera-Verano,Maíz grano,Champotón,Campeche,Temporal,Calakmul,Tonelada,3500.0,0.7,4360.0,0.0,10682000.0,3052.0
2016,963.0,1,1,7490000,11,4,2,3,200201,Escárcega/Candelaria,Otoño-Invierno,Maíz grano,Escárcega,Campeche,Temporal,Carmen,Tonelada,3497.34,0.84,967.0,4.0,2839140.61,811.8
2016,0.0,1,2,7490000,11,4,1,3,200201,Escárcega/Candelaria,Primavera-Verano,Maíz grano,Escárcega,Campeche,Riego,Carmen,Tonelada,0.0,0.0,23.0,23.0,0.0,0.0
2016,7380.0,1,2,7490000,11,4,2,3,200201,Escárcega/Candelaria,Primavera-Verano,Maíz grano,Escárcega,Campeche,Temporal,Carmen,Tonelada,3657.71,0.68,7500.0,120.0,18252704.44,4990.2
2016,13.0,1,1,7490000,11,4,1,9,200201,Escárcega/Candelaria,Otoño-Invierno,Maíz grano,Escárcega,Campeche,Riego,Escárcega,Tonelada,3359.25,3.9,13.0,0.0,170313.98,50.7
2016,1402.0,1,1,7490000,11,4,2,9,200201,Escárcega/Candelaria,Otoño-Invierno,Maíz grano,Escárcega,Campeche,Temporal,Escárcega,Tonelada,3498.96,0.66,1406.0,4.0,3251583.53,929.3
2016,23.0,1,2,7490000,11,4,1,9,200201,Escárcega/Candelaria,Primavera-Verano,Maíz grano,Escárcega,Campeche,Riego,Escárcega,Tonelada,3676.91,4.7,46.0,23.0,397473.97,108.1
2016,10002.0,1,2,7490000,11,4,2,9,200201,Escárcega/Candelaria,Primavera-Verano,Maíz grano,Escárcega,Campeche,Temporal,Escárcega,Tonelada,3663.82,0.65,10080.0,78.0,23924744.6,6530.0
2016,32.0,1,1,7490000,11,4,1,11,200201,Escárcega/Candelaria,Otoño-Invierno,Maíz grano,Escárcega,Campeche,Riego,Candelaria,Tonelada,3318.75,3.6,32.0,0.0,382320.0,115.2
2016,1639.0,1,1,7490000,11,4,2,11,200201,Escárcega/Candelaria,Otoño-Invierno,Maíz grano,Escárcega,Campeche,Temporal,Candelaria,Tonelada,3496.81,0.76,1643.0,4.0,4334820.52,1239.65
2016,33.0,1,2,7490000,11,4,1,11,200201,Escárcega/Candelaria,Primavera-Verano,Maíz grano,Escárcega,Campeche,Riego,Candelaria,Tonelada,3686.24,4.7,33.0,0.0,571735.82,155.1
2016,12107.0,1,2,7490000,11,4,2,11,200201,Escárcega/Candelaria,Primavera-Verano,Maíz grano,Escárcega,Campeche,Temporal,Candelaria,Tonelada,3650.85,0.67,12423.0,316.0,29539538.47,8091.14
