CVE_ENT,CVE_MUN,nombre_entidad,NOMGEO,anio,nomcicloproductivo,lluvia_acumulada_mm,lluvia_anio_anterior_mm
01,001,Aguascalientes,Aguascalientes,2013,OI,238.34,
01,002,Aguascalientes,Asientos,2013,OI,59.9,
01,003,Aguascalientes,Calvillo,2013,OI,165.07,
01,004,Aguascalientes,Cosío,2013,OI,49.029999999999994,
01,006,Aguascalientes,Pabellón de Arteaga,2013,OI,118.62,
01,007,Aguascalientes,Rincón de Romos,2013,OI,52.3,
01,008,Aguascalientes,San José de Gracia,2013,OI,172.1,
01,009,Aguascalientes,Tepezalá,2013,OI,51.019999999999996,
01,010,Aguascalientes,El Llano,2013,OI,293.91,
02,001,Baja California,Ensenada,2013,OI,294.57000000000005,
02,002,Baja California,Mexicali,2013,OI,38.36000000000001,
02,003,Baja California,Tecate,2013,OI,471.78999999999996,
02,004,Baja California,Tijuana,2013,OI,268.10999999999996,
02,006,Baja California,San Quintín,2013,OI,71.58,
02,007,Baja California,San Felipe,2013,OI,6.199999999999999,
03,001,Baja California Sur,Comondú,2013,OI,0.4,
03,002,Baja California Sur,Mulegé,2013,OI,32.55,
03,003,Baja California Sur,La Paz,2013,OI,0.0,
03,008,Baja California Sur,Los Cabos,2013,OI,0.0,
03,009,Baja California Sur,Loreto,2013,OI,1.0,
04,002,Campeche,Campeche,2013,OI,250.13000000000002,
04,003,Campeche,Carmen,2013,OI,417.51,
04,004,Campeche,Champotón,2013,OI,301.7,
04,005,Campeche,Hecelchakán,2013,OI,22.5,
04,006,Campeche,Hopelchén,2013,OI,238.41,
04,007,Campeche,Palizada,2013,OI,194.5,
04,009,Campeche,Escárcega,2013,OI,183.60000000000002,
04,010,Campeche,Calakmul,2013,OI,122.5,
04,011,Campeche,Candelaria,2013,OI,325.0,
05,002,Coahuila,Acuña,2013,OI,51.5,
05,003,Coahuila,Allende,2013,OI,32.0,
05,004,Coahuila,Arteaga,2013,OI,5.0,
05,005,Coahuila,Candela,2013,OI,27.5,
05,007,Coahuila,Cuatro Ciénegas,2013,OI,7.3,
05,014,Coahuila,Jiménez,2013,OI,118.0,
05,015,Coahuila,Juárez,2013,OI,66.53,
05,017,Coahuila,Matamoros,2013,OI,0.0,
05,018,Coahuila,Monclova,2013,OI,48.2,
05,025,Coahuila,Piedras Negras,2013,OI,65.5,
05,026,Coahuila,Progreso,2013,OI,36.5,
05,027,Coahuila,Ramos Arizpe,2013,OI,15.6,
05,028,Coahuila,Sabinas,2013,OI,50.5,
05,030,Coahuila,Saltillo,2013,OI,85.8,
05,033,Coahuila,San Pedro,2013,OI,3.0,
05,034,Coahuila,Sierra Mojada,2013,OI,7.0,
05,035,Coahuila,Torreón,2013,OI,0.9,
06,001,Colima,Armería,2013,OI,91.5,
06,002,Colima,Colima,2013,OI,101.2,
06,003,Colima,Comala,2013,OI,199.39999999999998,
06,004,Colima,Coquimatlán,2013,OI,135.01,
06,005,Colima,Cuauhtémoc,2013,OI,99.52,
06,007,Colima,Manzanillo,2013,OI,213.51,
06,009,Colima,Tecomán,2013,OI,249.97,
07,001,Chiapas,Acacoyagua,2013,OI,57.239999999999995,
07,002,Chiapas,Acala,2013,OI,24.8,
07,008,Chiapas,Ángel Albino Corzo,2013,OI,16.93,
07,009,Chiapas,Arriaga,2013,OI,7.37,
07,013,Chiapas,Bochil,2013,OI,28.0,
07,019,Chiapas,Comitán de Domínguez,2013,OI,65.42,
07,020,Chiapas,La Concordia,2013,OI,38.63,
07,027,Chiapas,Chiapa de Corzo,2013,OI,7.31,
07,028,Chiapas,Chiapilla,2013,OI,20.900000000000002,
07,029,Chiapas,Chicoasén,2013,OI,6.8,
07,030,Chiapas,Chicomuselo,2013,OI,72.33000000000001,
07,031,Chiapas,Chilón,2013,OI,459.90000000000003,
07,032,Chiapas,Escuintla,2013,OI,15.91,
