CVE_ENT,CVE_MUN,nombre_entidad,NOMGEO,anio,nomcicloproductivo,temp_min_ciclo_min,temp_min_anual_anterior
01,001,Aguascalientes,Aguascalientes,2013,OI,0.2,
01,002,Aguascalientes,Asientos,2013,OI,2.6,
01,003,Aguascalientes,Calvillo,2013,OI,1.4,
01,004,Aguascalientes,Cosío,2013,OI,3.8,
01,006,Aguascalientes,Pabellón de Arteaga,2013,OI,5.3,
01,007,Aguascalientes,Rincón de Romos,2013,OI,5.7,
01,008,Aguascalientes,San José de Gracia,2013,OI,1.8,
01,009,Aguascalientes,Tepezalá,2013,OI,7.3,
01,010,Aguascalientes,El Llano,2013,OI,1.8,
02,001,Baja California,Ensenada,2013,OI,3.2,
02,002,Baja California,Mexicali,2013,OI,5.3,
02,003,Baja California,Tecate,2013,OI,-1.3,
02,004,Baja California,Tijuana,2013,OI,6.7,
02,006,Baja California,San Quintín,2013,OI,6.4,
02,007,Baja California,San Felipe,2013,OI,7.3,
03,001,Baja California Sur,Comondú,2013,OI,7.3,
03,002,Baja California Sur,Mulegé,2013,OI,3.8,
03,003,Baja California Sur,La Paz,2013,OI,8.6,
03,008,Baja California Sur,Los Cabos,2013,OI,6.2,
03,009,Baja California Sur,Loreto,2013,OI,11.7,
04,002,Campeche,Campeche,2013,OI,17.7,
04,003,Campeche,Carmen,2013,OI,18.6,
04,004,Campeche,Champotón,2013,OI,17.9,
04,005,Campeche,Hecelchakán,2013,OI,19.5,
04,006,Campeche,Hopelchén,2013,OI,16.8,
04,007,Campeche,Palizada,2013,OI,19.3,
04,009,Campeche,Escárcega,2013,OI,17.9,
04,011,Campeche,Candelaria,2013,OI,18.1,
05,002,Coahuila,Acuña,2013,OI,5.6,
05,003,Coahuila,Allende,2013,OI,5.8,
05,004,Coahuila,Arteaga,2013,OI,3.6,
05,005,Coahuila,Candela,2013,OI,8.2,
05,007,Coahuila,Cuatro Ciénegas,2013,OI,5.9,
05,014,Coahuila,Jiménez,2013,OI,4.8,
05,015,Coahuila,Juárez,2013,OI,6.5,
05,017,Coahuila,Matamoros,2013,OI,6.5,
05,018,Coahuila,Monclova,2013,OI,8.5,
05,020,Coahuila,Múzquiz,2013,OI,3.9,
05,022,Coahuila,Nava,2013,OI,13.0,
05,024,Coahuila,Parras,2013,OI,7.2,
05,025,Coahuila,Piedras Negras,2013,OI,7.5,
05,026,Coahuila,Progreso,2013,OI,4.7,
05,027,Coahuila,Ramos Arizpe,2013,OI,6.7,
05,028,Coahuila,Sabinas,2013,OI,5.6,
05,030,Coahuila,Saltillo,2013,OI,4.6,
05,032,Coahuila,San Juan de Sabinas,2013,OI,14.2,
05,033,Coahuila,San Pedro,2013,OI,5.0,
05,034,Coahuila,Sierra Mojada,2013,OI,1.4,
05,035,Coahuila,Torreón,2013,OI,3.4,
06,001,Colima,Armería,2013,OI,18.5,
06,002,Colima,Colima,2013,OI,16.1,
06,003,Colima,Comala,2013,OI,17.2,
06,004,Colima,Coquimatlán,2013,OI,16.7,
06,005,Colima,Cuauhtémoc,2013,OI,14.0,
06,006,Colima,Ixtlahuacán,2013,OI,16.2,
06,007,Colima,Manzanillo,2013,OI,18.4,
06,009,Colima,Tecomán,2013,OI,16.5,
07,001,Chiapas,Acacoyagua,2013,OI,19.7,
07,002,Chiapas,Acala,2013,OI,16.4,
07,008,Chiapas,Ángel Albino Corzo,2013,OI,14.1,
07,009,Chiapas,Arriaga,2013,OI,19.2,
07,019,Chiapas,Comitán de Domínguez,2013,OI,12.2,
07,020,Chiapas,La Concordia,2013,OI,15.2,
07,027,Chiapas,Chiapa de Corzo,2013,OI,15.8,
07,029,Chiapas,Chicoasén,2013,OI,18.5,
07,030,Chiapas,Chicomuselo,2013,OI,14.3,
07,032,Chiapas,Escuintla,2013,OI,21.0,
