nombre_entidad,municipio,count
Aguascalientes,Aguascalientes,145
Aguascalientes,Alamitos,143
Aguascalientes,Calvillo,261
Aguascalientes,Cañada Honda,147
Aguascalientes,Cincuenta Aniversario,111
Aguascalientes,Cosío,146
Aguascalientes,Derivadora Pabellón,148
Aguascalientes,El Niágara,148
Aguascalientes,El Novillo,148
Aguascalientes,Jocoque,148
Aguascalientes,La Codorniz,147
Aguascalientes,La Tinaja 2,119
Aguascalientes,Los Conos,148
Aguascalientes,Media Luna,143
Aguascalientes,Observatorio de Aguascalientes,148
Aguascalientes,Pabellón,148
Aguascalientes,Palo Alto,147
Aguascalientes,Plutarco Elías Calles,148
Aguascalientes,Presa Cincuenta Aniversario,79
Aguascalientes,Puerto de la Concepción,148
Aguascalientes,San Bartolo,148
Aguascalientes,Sandovales,148
Aguascalientes,Santa Lucía,3
Aguascalientes,Sierra Fría,59
Aguascalientes,Universidad,44
Aguascalientes,Villa Juárez,148
Baja California,Abelardo L. Rodríguez,141
Baja California,Abelardo L. Rodríguez 2,80
Baja California,Agua Hechicera,94
Baja California,Bahía de los Angeles,47
Baja California,Carmen Serdán,69
Baja California,Cataviña,91
Baja California,Constitución de 1857,29
Baja California,El Carrizo,148
Baja California,El Florido,140
Baja California,El Hongo,148
Baja California,Emilio López Zamora,145
Baja California,Isla Cedros,70
Baja California,Isla Coronado,10
Baja California,La Puerta,136
Baja California,La Rumorosa,35
Baja California,Llano Colorado,3
Baja California,Mexicali,148
Baja California,Observatorio de Ejido Nuevo León,106
Baja California,Observatorio de Ensenada,53
Baja California,Observatorio de San Felipe,104
Baja California,Playa Rosarito,77
Baja California,Presa Emilio López Zamora,46
Baja California,Presa derivadora Morelos,140
Baja California,Punta Banda,106
Baja California,San Quintín,43
Baja California,Tecate,85
Baja California Sur,Agua Caliente,1
Baja California Sur,Bahía Asunción,58
Baja California Sur,Cabo Pulmo,66
Baja California Sur,Cabo San Lucas,141
Baja California Sur,Díaz Ordaz,148
Baja California Sur,El Sargento,148
Baja California Sur,La Ribera,148
Baja California Sur,Los Barriles,148
Baja California Sur,Los Planes,136
Baja California Sur,Mulegé,142
Baja California Sur,Observatorio de Ciudad Constitución,133
Baja California Sur,Observatorio de La Paz,136
Baja California Sur,Observatorio de Loreto,124
Baja California Sur,Observatorio de Santa Rosalía,88
Baja California Sur,Puerto San Carlos,58
Baja California Sur,San Antonio Sur,148
Baja California Sur,San Bartolo,148
Baja California Sur,San José del Cabo,138
Baja California Sur,San Juanico,84
Baja California Sur,San Martín,58
Baja California Sur,San Vicente de la Sierra,43
Baja California Sur,Santiago,144
Baja California Sur,Sierra La Laguna,119
Baja California Sur,Todos Santos,148
Campeche,Bolonchen,148
Campeche,Calakmul,53
Campeche,Campeche,148
Campeche,Canasayab,148
Campeche,Candelaria,148
Campeche,Champotón,148
Campeche,El Carmen,148
Campeche,Escárcega,148
Campeche,Hecelchakán,146
Campeche,Hopelchén,148
