CVEGEO,idestado,idmunicipio,NOMGEO,rha_x,clave_acuifero,acuifero,rha_y,acuifero_disp,acuifero_sobreexplotado,acuifero_sin_disponibilidad,anio_fuente_acuifero
01001,1,1,Aguascalientes,VIII,0101,Valle de Aguascalientes,VIII,-114.31,False,True,2015
01001,1,1,Aguascalientes,VIII,0102,Valle de Chicalote,VIII,-9.97,False,True,2015
01001,1,1,Aguascalientes,VIII,0103,El Llano,VIII,-5.68,False,True,2015
01001,1,1,Aguascalientes,VIII,0104,Venadero,VIII,-0.34,False,True,2015
01001,1,1,Aguascalientes,VIII,0105,Valle de Calvillo,VIII,-17.92,False,True,2015
01002,1,2,Asientos,VIII,0101,Valle de Aguascalientes,VIII,-114.31,False,True,2015
01002,1,2,Asientos,VIII,0102,Valle de Chicalote,VIII,-9.97,False,True,2015
01002,1,2,Asientos,VIII,0103,El Llano,VIII,-5.68,False,True,2015
01002,1,2,Asientos,VIII,0104,Venadero,VIII,-0.34,False,True,2015
01002,1,2,Asientos,VIII,0105,Valle de Calvillo,VIII,-17.92,False,True,2015
01003,1,3,Calvillo,VIII,0101,Valle de Aguascalientes,VIII,-114.31,False,True,2015
01003,1,3,Calvillo,VIII,0102,Valle de Chicalote,VIII,-9.97,False,True,2015
01003,1,3,Calvillo,VIII,0103,El Llano,VIII,-5.68,False,True,2015
01003,1,3,Calvillo,VIII,0104,Venadero,VIII,-0.34,False,True,2015
01003,1,3,Calvillo,VIII,0105,Valle de Calvillo,VIII,-17.92,False,True,2015
01004,1,4,Cosío,VIII,0101,Valle de Aguascalientes,VIII,-114.31,False,True,2015
01004,1,4,Cosío,VIII,0102,Valle de Chicalote,VIII,-9.97,False,True,2015
01004,1,4,Cosío,VIII,0103,El Llano,VIII,-5.68,False,True,2015
01004,1,4,Cosío,VIII,0104,Venadero,VIII,-0.34,False,True,2015
01004,1,4,Cosío,VIII,0105,Valle de Calvillo,VIII,-17.92,False,True,2015
01005,1,5,Jesús María,VIII,0101,Valle de Aguascalientes,VIII,-114.31,False,True,2015
01005,1,5,Jesús María,VIII,0102,Valle de Chicalote,VIII,-9.97,False,True,2015
01005,1,5,Jesús María,VIII,0103,El Llano,VIII,-5.68,False,True,2015
01005,1,5,Jesús María,VIII,0104,Venadero,VIII,-0.34,False,True,2015
01005,1,5,Jesús María,VIII,0105,Valle de Calvillo,VIII,-17.92,False,True,2015
01006,1,6,Pabellón de Arteaga,VIII,0101,Valle de Aguascalientes,VIII,-114.31,False,True,2015
01006,1,6,Pabellón de Arteaga,VIII,0102,Valle de Chicalote,VIII,-9.97,False,True,2015
01006,1,6,Pabellón de Arteaga,VIII,0103,El Llano,VIII,-5.68,False,True,2015
01006,1,6,Pabellón de Arteaga,VIII,0104,Venadero,VIII,-0.34,False,True,2015
01006,1,6,Pabellón de Arteaga,VIII,0105,Valle de Calvillo,VIII,-17.92,False,True,2015
01007,1,7,Rincón de Romos,VIII,0101,Valle de Aguascalientes,VIII,-114.31,False,True,2015
01007,1,7,Rincón de Romos,VIII,0102,Valle de Chicalote,VIII,-9.97,False,True,2015
01007,1,7,Rincón de Romos,VIII,0103,El Llano,VIII,-5.68,False,True,2015
01007,1,7,Rincón de Romos,VIII,0104,Venadero,VIII,-0.34,False,True,2015
01007,1,7,Rincón de Romos,VIII,0105,Valle de Calvillo,VIII,-17.92,False,True,2015
01008,1,8,San José de Gracia,VIII,0101,Valle de Aguascalientes,VIII,-114.31,False,True,2015
01008,1,8,San José de Gracia,VIII,0102,Valle de Chicalote,VIII,-9.97,False,True,2015
01008,1,8,San José de Gracia,VIII,0103,El Llano,VIII,-5.68,False,True,2015
01008,1,8,San José de Gracia,VIII,0104,Venadero,VIII,-0.34,False,True,2015
01008,1,8,San José de Gracia,VIII,0105,Valle de Calvillo,VIII,-17.92,False,True,2015
01009,1,9,Tepezalá,VIII,0101,Valle de Aguascalientes,VIII,-114.31,False,True,2015
01009,1,9,Tepezalá,VIII,0102,Valle de Chicalote,VIII,-9.97,False,True,2015
01009,1,9,Tepezalá,VIII,0103,El Llano,VIII,-5.68,False,True,2015
01009,1,9,Tepezalá,VIII,0104,Venadero,VIII,-0.34,False,True,2015
01009,1,9,Tepezalá,VIII,0105,Valle de Calvillo,VIII,-17.92,False,True,2015
01010,1,10,El Llano,VIII,0101,Valle de Aguascalientes,VIII,-114.31,False,True,2015
01010,1,10,El Llano,VIII,0102,Valle de Chicalote,VIII,-9.97,False,True,2015
01010,1,10,El Llano,VIII,0103,El Llano,VIII,-5.68,False,True,2015
01010,1,10,El Llano,VIII,0104,Venadero,VIII,-0.34,False,True,2015
01010,1,10,El Llano,VIII,0105,Valle de Calvillo,VIII,-17.92,False,True,2015
01011,1,11,San Francisco de los Romo,VIII,0101,Valle de Aguascalientes,VIII,-114.31,False,True,2015
01011,1,11,San Francisco de los Romo,VIII,0102,Valle de Chicalote,VIII,-9.97,False,True,2015
01011,1,11,San Francisco de los Romo,VIII,0103,El Llano,VIII,-5.68,False,True,2015
01011,1,11,San Francisco de los Romo,VIII,0104,Venadero,VIII,-0.34,False,True,2015
01011,1,11,San Francisco de los Romo,VIII,0105,Valle de Calvillo,VIII,-17.92,False,True,2015
02001,2,1,Ensenada,I,0201,Tijuana,I,12.14,False,False,2015
02001,2,1,Ensenada,I,0202,Tecate,I,-1.94,False,True,2015
02001,2,1,Ensenada,I,0203,El Descanso,I,0.86,False,False,2015
02001,2,1,Ensenada,I,0204,Los Médanos,I,0.75,False,False,2015
02001,2,1,Ensenada,I,0205,Las Palmas,I,-3.49,False,True,2015
02001,2,1,Ensenada,I,0206,La Misión,I,-2.07,False,True,2015
02001,2,1,Ensenada,I,0207,Guadalupe,I,-12.21,False,True,2015
02001,2,1,Ensenada,I,0208,Ojos Negros,I,-8.48,False,True,2015
02001,2,1,Ensenada,I,0209,Laguna Salada,I,-0.04,False,True,2015
02001,2,1,Ensenada,I,0210,Valle de Mexicali,I,-456.04,False,True,2015
02001,2,1,Ensenada,I,0211,Ensenada,I,-6.81,False,True,2015
02001,2,1,Ensenada,I,0212,Maneadero,I,-17.58,False,True,2015
