anio,idestado,idmunicipio,nomestado,nommunicipio,nomcicloproductivo
2016,1,11,Aguascalientes,San Francisco de Los Romo,PV
2016,4,1,Campeche,Calkiní,OI
2016,4,1,Campeche,Calkiní,PV
2016,4,8,Campeche,Tenabo,OI
2016,4,8,Campeche,Tenabo,PV
2016,5,1,Coahuila,Abasolo,PV
2016,5,6,Coahuila,Castaños,PV
2016,5,8,Coahuila,Escobedo,PV
2016,5,10,Coahuila,Frontera,PV
2016,5,11,Coahuila,General Cepeda,PV
2016,5,12,Coahuila,Guerrero,PV
2016,5,13,Coahuila,Hidalgo,PV
2016,5,16,Coahuila,Lamadrid,PV
2016,5,19,Coahuila,Morelos,PV
2016,5,20,Coahuila,Múzquiz,PV
2016,5,21,Coahuila,Nadadores,PV
2016,5,22,Coahuila,Nava,PV
2016,5,23,Coahuila,Ocampo,PV
2016,5,24,Coahuila,Parras,PV
2016,5,29,Coahuila,Sacramento,PV
2016,5,31,Coahuila,San Buenaventura,PV
2016,5,32,Coahuila,San Juan de Sabinas,PV
2016,5,36,Coahuila,Viesca,PV
2016,5,37,Coahuila,Villa Unión,PV
2016,5,38,Coahuila,Zaragoza,PV
2016,6,8,Colima,Minatitlán,OI
2016,6,8,Colima,Minatitlán,PV
2016,6,10,Colima,Villa de Álvarez,OI
2016,6,10,Colima,Villa de Álvarez,PV
2016,7,3,Chiapas,Acapetahua,OI
2016,7,6,Chiapas,Amatenango de La Frontera,PV
2016,7,7,Chiapas,Amatenango del Valle,PV
2016,7,10,Chiapas,Bejucal de Ocampo,PV
2016,7,11,Chiapas,Bella Vista,PV
2016,7,12,Chiapas,Berriozábal,PV
2016,7,18,Chiapas,Coapilla,PV
2016,7,21,Chiapas,Copainalá,OI
2016,7,21,Chiapas,Copainalá,PV
2016,7,22,Chiapas,Chalchihuitán,OI
2016,7,22,Chiapas,Chalchihuitán,PV
2016,7,23,Chiapas,Chamula,PV
2016,7,24,Chiapas,Chanal,PV
2016,7,25,Chiapas,Chapultenango,OI
2016,7,25,Chiapas,Chapultenango,PV
2016,7,26,Chiapas,Chenalhó,OI
2016,7,26,Chiapas,Chenalhó,PV
2016,7,33,Chiapas,Francisco León,OI
2016,7,33,Chiapas,Francisco León,PV
2016,7,35,Chiapas,Frontera Hidalgo,OI
2016,7,35,Chiapas,Frontera Hidalgo,PV
2016,7,36,Chiapas,La Grandeza,PV
2016,7,39,Chiapas,Huitiupán,OI
2016,7,39,Chiapas,Huitiupán,PV
2016,7,41,Chiapas,La Independencia,OI
2016,7,41,Chiapas,La Independencia,PV
2016,7,42,Chiapas,Ixhuatán,OI
2016,7,42,Chiapas,Ixhuatán,PV
2016,7,43,Chiapas,Ixtacomitán,OI
2016,7,43,Chiapas,Ixtacomitán,PV
2016,7,45,Chiapas,Ixtapangajoya,OI
2016,7,45,Chiapas,Ixtapangajoya,PV
2016,7,47,Chiapas,Jitotol,OI
2016,7,47,Chiapas,Jitotol,PV
2016,7,48,Chiapas,Juárez,OI
2016,7,48,Chiapas,Juárez,PV
2016,7,50,Chiapas,La Libertad,OI
2016,7,50,Chiapas,La Libertad,PV
2016,7,53,Chiapas,Mazapa de Madero,PV
2016,7,54,Chiapas,Mazatán,OI
2016,7,54,Chiapas,Mazatán,PV
2016,7,55,Chiapas,Metapa,OI
2016,7,55,Chiapas,Metapa,PV
2016,7,56,Chiapas,Mitontic,OI
2016,7,56,Chiapas,Mitontic,PV
2016,7,58,Chiapas,Nicolás Ruíz,PV
2016,7,66,Chiapas,Pantelhó,OI
2016,7,66,Chiapas,Pantelhó,PV
2016,7,67,Chiapas,Pantepec,OI
2016,7,67,Chiapas,Pantepec,PV
2016,7,70,Chiapas,El Porvenir,PV
2016,7,73,Chiapas,Rayón,OI
2016,7,73,Chiapas,Rayón,PV
2016,7,75,Chiapas,Las Rosas,OI
2016,7,75,Chiapas,Las Rosas,PV
2016,7,76,Chiapas,Sabanilla,OI
2016,7,76,Chiapas,Sabanilla,PV
2016,7,79,Chiapas,San Fernando,PV
2016,7,81,Chiapas,Simojovel,OI
2016,7,81,Chiapas,Simojovel,PV
2016,7,82,Chiapas,Sitalá,OI
2016,7,83,Chiapas,Socoltenango,OI
2016,7,83,Chiapas,Socoltenango,PV
2016,7,90,Chiapas,Tapalapa,OI
2016,7,90,Chiapas,Tapalapa,PV
2016,7,91,Chiapas,Tapilula,OI
2016,7,91,Chiapas,Tapilula,PV
2016,7,93,Chiapas,Tenejapa,OI
2016,7,93,Chiapas,Tenejapa,PV
2016,7,94,Chiapas,Teopisca,PV
2016,7,98,Chiapas,Totolapa,OI
2016,7,98,Chiapas,Totolapa,PV
2016,7,100,Chiapas,Tumbalá,OI
2016,7,100,Chiapas,Tumbalá,PV
2016,7,103,Chiapas,Tuzantán,OI
2016,7,103,Chiapas,Tuzantán,PV
2016,7,104,Chiapas,Tzimol,OI
2016,7,104,Chiapas,Tzimol,PV
2016,7,109,Chiapas,Yajalón,OI
2016,7,109,Chiapas,Yajalón,PV
2016,7,110,Chiapas,San Lucas,OI
2016,7,110,Chiapas,San Lucas,PV
2016,7,111,Chiapas,Zinacantán,PV
2016,7,112,Chiapas,San Juan Cancuc,OI
2016,7,112,Chiapas,San Juan Cancuc,PV
2016,7,113,Chiapas,Aldama,PV
2016,7,114,Chiapas,Benemérito de Las Américas,OI
2016,7,114,Chiapas,Benemérito de Las Américas,PV
2016,7,115,Chiapas,Maravilla Tenejapa,OI
2016,7,115,Chiapas,Maravilla Tenejapa,PV
2016,7,116,Chiapas,Marqués de Comillas,OI
2016,7,116,Chiapas,Marqués de Comillas,PV
2016,7,117,Chiapas,Montecristo de Guerrero,PV
2016,7,118,Chiapas,San Andrés Duraznal,OI
2016,7,118,Chiapas,San Andrés Duraznal,PV
2016,7,119,Chiapas,Santiago El Pinar,PV
2016,8,1,Chihuahua,Ahumada,PV
2016,8,3,Chihuahua,Allende,PV
2016,8,5,Chihuahua,Ascensión,PV
2016,8,13,Chihuahua,Casas Grandes,PV
2016,8,16,Chihuahua,La Cruz,PV
2016,8,18,Chihuahua,Cusihuiriachi,PV
2016,8,23,Chihuahua,Galeana,PV
2016,8,25,Chihuahua,Gómez Farías,PV
2016,8,30,Chihuahua,Guazapares,PV
2016,8,33,Chihuahua,Huejotitán,PV
2016,8,34,Chihuahua,Ignacio Zaragoza,PV
2016,8,44,Chihuahua,Matamoros,PV
2016,8,46,Chihuahua,Morelos,PV
2016,8,47,Chihuahua,Moris,PV
2016,8,54,Chihuahua,Riva Palacio,PV
2016,8,56,Chihuahua,Rosario,PV
2016,8,62,Chihuahua,Saucillo,PV
2016,8,64,Chihuahua,El Tule,PV
2016,8,66,Chihuahua,Uruachi,PV
2016,10,2,Durango,Canelas,OI
2016,10,2,Durango,Canelas,PV
2016,10,3,Durango,Coneto de Comonfort,PV
2016,10,6,Durango,General Simón Bolívar,PV
2016,10,14,Durango,Mezquital,PV
2016,10,16,Durango,Nombre de Dios,PV
2016,10,19,Durango,Otáez,PV
2016,10,21,Durango,Peñón Blanco,PV
2016,10,23,Durango,Pueblo Nuevo,PV
2016,10,28,Durango,San Juan del Río,PV
2016,10,29,Durango,San Luis del Cordero,PV
2016,10,37,Durango,Topia,OI
2016,10,37,Durango,Topia,PV
2016,10,38,Durango,Vicente Guerrero,PV
2016,10,39,Durango,Nuevo Ideal,PV
2016,11,9,Guanajuato,Comonfort,OI
2016,11,13,Guanajuato,Doctor Mora,PV
2016,11,16,Guanajuato,Huanímaro,OI
2016,11,16,Guanajuato,Huanímaro,PV
2016,11,21,Guanajuato,Moroleón,PV
2016,11,24,Guanajuato,Pueblo Nuevo,PV
2016,11,29,Guanajuato,San Diego de La Unión,PV
2016,11,31,Guanajuato,San Francisco del Rincón,PV
2016,11,32,Guanajuato,San José Iturbide,PV
2016,11,34,Guanajuato,Santa Catarina,PV
2016,11,35,Guanajuato,Santa Cruz de Juventino Rosas,PV
2016,11,36,Guanajuato,Santiago Maravatío,PV
2016,11,38,Guanajuato,Tarandacuao,PV
2016,11,40,Guanajuato,Tierra Blanca,PV
2016,11,41,Guanajuato,Uriangato,PV
2016,11,43,Guanajuato,Victoria,PV
2016,11,44,Guanajuato,Villagrán,PV
2016,12,4,Guerrero,Alcozauca de Guerrero,OI
2016,12,4,Guerrero,Alcozauca de Guerrero,PV
2016,12,6,Guerrero,Apaxtla,PV
2016,12,9,Guerrero,Atlamajalcingo del Monte,PV
2016,12,10,Guerrero,Atlixtac,OI
2016,12,10,Guerrero,Atlixtac,PV
2016,12,13,Guerrero,Azoyú,OI
2016,12,13,Guerrero,Azoyú,PV
2016,12,16,Guerrero,Coahuayutla de José María Izazaga,OI
2016,12,16,Guerrero,Coahuayutla de José María Izazaga,PV
2016,12,17,Guerrero,Cocula,OI
2016,12,17,Guerrero,Cocula,PV
2016,12,19,Guerrero,Copalillo,OI
2016,12,19,Guerrero,Copalillo,PV
2016,12,20,Guerrero,Copanatoyac,OI
2016,12,20,Guerrero,Copanatoyac,PV
2016,12,24,Guerrero,Cualác,PV
2016,12,25,Guerrero,Cuautepec,OI
2016,12,25,Guerrero,Cuautepec,PV
2016,12,26,Guerrero,Cuetzala del Progreso,OI
2016,12,26,Guerrero,Cuetzala del Progreso,PV
2016,12,27,Guerrero,Cutzamala de Pinzón,OI
2016,12,27,Guerrero,Cutzamala de Pinzón,PV
2016,12,30,Guerrero,Florencio Villarreal,OI
2016,12,30,Guerrero,Florencio Villarreal,PV
2016,12,31,Guerrero,General Canuto A. Neri,PV
2016,12,33,Guerrero,Huamuxtitlán,OI
2016,12,33,Guerrero,Huamuxtitlán,PV
2016,12,37,Guerrero,Ixcateopan de Cuauhtémoc,PV
2016,12,41,Guerrero,Malinaltepec,OI
2016,12,41,Guerrero,Malinaltepec,PV
2016,12,42,Guerrero,Mártir de Cuilapan,PV
2016,12,43,Guerrero,Metlatónoc,OI
2016,12,43,Guerrero,Metlatónoc,PV
2016,12,47,Guerrero,Pedro Ascencio Alquisiras,PV
2016,12,49,Guerrero,Pilcaya,OI
2016,12,49,Guerrero,Pilcaya,PV
2016,12,51,Guerrero,Quechultenango,OI
2016,12,51,Guerrero,Quechultenango,PV
2016,12,52,Guerrero,San Luis Acatlán,OI
2016,12,52,Guerrero,San Luis Acatlán,PV
2016,12,54,Guerrero,San Miguel Totolapan,OI
2016,12,54,Guerrero,San Miguel Totolapan,PV
2016,12,56,Guerrero,Tecoanapa,OI
2016,12,56,Guerrero,Tecoanapa,PV
2016,12,58,Guerrero,Teloloapan,OI
2016,12,58,Guerrero,Teloloapan,PV
2016,12,60,Guerrero,Tetipac,OI
2016,12,60,Guerrero,Tetipac,PV
2016,12,62,Guerrero,Tlacoachistlahuaca,OI
2016,12,62,Guerrero,Tlacoachistlahuaca,PV
2016,12,63,Guerrero,Tlacoapa,OI
2016,12,63,Guerrero,Tlacoapa,PV
2016,12,64,Guerrero,Tlalchapa,OI
2016,12,64,Guerrero,Tlalchapa,PV
2016,12,65,Guerrero,Tlalixtaquilla de Maldonado,OI
2016,12,65,Guerrero,Tlalixtaquilla de Maldonado,PV
2016,12,67,Guerrero,Tlapehuala,OI
2016,12,67,Guerrero,Tlapehuala,PV
2016,12,69,Guerrero,Xalpatláhuac,OI
2016,12,69,Guerrero,Xalpatláhuac,PV
2016,12,71,Guerrero,Xochistlahuaca,OI
2016,12,71,Guerrero,Xochistlahuaca,PV
2016,12,72,Guerrero,Zapotitlán Tablas,OI
2016,12,72,Guerrero,Zapotitlán Tablas,PV
2016,12,74,Guerrero,Zitlala,OI
